type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.37819,9.71399,50,0,1.619,16.38,,
T,52.37823,9.71359,50,0,1.646,27.6,,
T,52.37832,9.71297,50,0,1.69,43.39,,
T,52.37844,9.71244,50,0,1.728,38.48,,
T,52.37855,9.71204,50,0,1.758,29.86,,
T,52.37858,9.71192,50,0,1.767,8.83,,
T,52.37871,9.71151,50,0,1.798,31.44,,
T,52.37897,9.71081,50,0,1.854,55.76,,
T,52.37902,9.71067,50,0,1.865,11.04,,
T,52.37915,9.71033,50,0,1.892,27.3,,
T,52.3792,9.71021,50,0,1.902,9.89,,
T,52.37924,9.71008,50,0,1.912,9.91,,
T,52.37931,9.70992,50,0,1.926,13.39,,
T,52.3794,9.70966,50,0,1.946,20.34,,
T,52.37953,9.70931,50,0,1.974,27.88,,
T,52.37967,9.7089,50,0,2.006,31.97,,
T,52.37967,9.70888,50,0,2.007,1.36,,
T,52.37977,9.70853,50,0,2.033,26.3,,
T,52.37985,9.70823,50,0,2.056,22.28,,
T,52.37988,9.70812,50,0,2.064,8.2,,
T,52.38001,9.70756,50,0,2.105,40.78,,
T,52.38001,9.70754,50,0,2.106,1.36,,
T,52.38008,9.70715,50,0,2.134,27.68,,
T,52.38008,9.70711,50,0,2.136,2.72,,
T,52.38012,9.70688,50,0,2.153,16.28,,
T,52.3802,9.70631,50,0,2.192,39.82,,
T,52.38021,9.70618,50,0,2.201,8.92,,
T,52.38025,9.70575,50,0,2.231,29.62,,
T,52.38027,9.70546,50,0,2.251,19.87,,
T,52.38028,9.70521,50,0,2.268,17.06,,
T,52.38028,9.705,50,0,2.282,14.3,,
T,52.38029,9.70482,50,0,2.295,12.31,,
T,52.38029,9.70463,50,0,2.308,12.94,,
T,52.38029,9.70441,50,0,2.322,14.98,,
T,52.38029,9.70422,50,0,2.335,12.94,,
T,52.38028,9.70395,50,0,2.354,18.42,,
T,52.38027,9.70372,50,0,2.37,15.7,,
T,52.38025,9.70334,50,0,2.396,25.97,,
T,52.3802,9.70277,50,0,2.435,39.21,,
T,52.3802,9.70273,50,0,2.437,2.72,,
T,52.3801,9.7017,50,0,2.508,71.01,,
T,52.38,9.70069,50,0,2.578,69.67,,
T,52.38,9.70064,50,0,2.582,3.4,,
T,52.37999,9.70045,50,0,2.595,12.99,,
T,52.37996,9.69994,50,0,2.629,34.89,,
T,52.37996,9.69959,50,0,2.653,23.83,,
T,52.37995,9.69946,50,0,2.662,8.92,,
T,52.37995,9.69932,50,0,2.672,9.53,,
T,52.37997,9.69865,50,0,2.717,45.68,,
T,52.37997,9.69853,50,0,2.726,8.17,,
T,52.37998,9.69841,50,0,2.734,8.25,,
T,52.37999,9.69831,50,0,2.741,6.9,,
T,52.38,9.6982,50,0,2.748,7.57,,
T,52.38001,9.69778,50,0,2.777,28.62,,
T,52.38002,9.69755,50,0,2.793,15.7,,
T,52.38003,9.69728,50,0,2.811,18.42,,
T,52.38003,9.69709,50,0,2.824,12.94,,
T,52.38002,9.69693,50,0,2.835,10.95,,
T,52.38,9.69672,50,0,2.849,14.47,,
T,52.38,9.69672,50,,2.849,0,,
T,52.38001,9.69669,50,0,2.852,2.33,,
T,52.38001,9.69666,50,0,2.854,2.04,,
T,52.38001,9.69664,50,0,2.855,1.36,,
T,52.38002,9.69662,50,0,2.857,1.76,,
T,52.38002,9.69661,50,0,2.858,0.68,,
T,52.38002,9.69659,50,0,2.859,1.36,,
T,52.38,9.69642,50,0,2.871,11.79,,
T,52.38,9.69641,50,0,2.871,0.68,,
T,52.38,9.69638,50,0,2.873,2.04,,
T,52.38,9.69637,50,0,2.874,0.68,,
T,52.38,9.69634,50,0,2.876,2.04,,
T,52.38,9.6963,50,0,2.879,2.72,,
T,52.38,9.69626,50,0,2.882,2.72,,
T,52.38001,9.69623,50,0,2.884,2.33,,
T,52.38003,9.69615,50,0,2.89,5.88,,
T,52.38027,9.69586,50,0,2.923,33.21,,
T,52.38036,9.69575,50,0,2.936,12.51,,
T,52.38043,9.69565,50,0,2.946,10.35,,
T,52.38052,9.69553,50,0,2.959,12.93,,
T,52.3806,9.69542,50,0,2.97,11.63,,
T,52.38064,9.69535,50,0,2.977,6.52,,
T,52.38072,9.69519,50,0,2.991,14.07,,
T,52.38079,9.69505,50,0,3.003,12.31,,
T,52.38091,9.69476,50,0,3.027,23.84,,
T,52.38118,9.69421,50,0,3.075,48.01,,
T,52.38125,9.69408,50,0,3.087,11.79,,
T,52.38132,9.69395,50,0,3.099,11.79,,
T,52.3814,9.69382,50,0,3.111,12.55,,
T,52.38143,9.69377,50,0,3.116,4.77,,
T,52.38149,9.69367,50,0,3.126,9.54,,
T,52.38156,9.69355,50,0,3.137,11.29,,
T,52.38163,9.69344,50,0,3.148,10.81,,
T,52.38172,9.69331,50,0,3.161,13.37,,
T,52.38179,9.6932,50,0,3.172,10.81,,
T,52.38188,9.69307,50,0,3.185,13.37,,
T,52.38195,9.69297,50,0,3.196,10.35,,
T,52.38212,9.69275,50,0,3.22,24.13,,
T,52.3823,9.69252,50,0,3.245,25.43,,
T,52.38245,9.69235,50,0,3.265,20.31,,
T,52.38256,9.69222,50,0,3.281,15.11,,
T,52.38275,9.69202,50,0,3.306,25.15,,
T,52.38293,9.69184,50,0,3.329,23.48,,
T,52.383,9.69178,50,0,3.338,8.8,,
T,52.38313,9.69166,50,0,3.355,16.61,,
T,52.38332,9.6915,50,0,3.378,23.78,,
T,52.38341,9.69143,50,0,3.389,11.09,,
T,52.38351,9.69135,50,0,3.402,12.39,,
T,52.3837,9.69121,50,0,3.425,23.19,,
T,52.3838,9.69115,50,0,3.437,11.85,,
T,52.38387,9.6911,50,0,3.445,8.5,,
T,52.384,9.69102,50,0,3.461,15.46,,
T,52.38412,9.69095,50,0,3.475,14.18,,
T,52.38424,9.69088,50,0,3.489,14.18,,
T,52.38433,9.69083,50,0,3.5,10.58,,
T,52.38452,9.69073,50,0,3.522,22.21,,
T,52.38463,9.69068,50,0,3.535,12.7,,
T,52.38482,9.69059,50,0,3.557,22.01,,
T,52.38494,9.69053,50,0,3.571,13.96,,
T,52.38505,9.69048,50,0,3.583,12.7,,
T,52.38513,9.69045,50,0,3.593,9.13,,
T,52.38526,9.69039,50,0,3.608,15.03,,
T,52.38545,9.69031,50,0,3.629,21.83,,
T,52.38557,9.69026,50,0,3.643,13.78,,
T,52.38577,9.69018,50,0,3.666,22.91,,
T,52.38598,9.69009,50,0,3.69,24.16,,
T,52.38609,9.69005,50,0,3.703,12.54,,
T,52.38619,9.69001,50,0,3.714,11.46,,
T,52.38629,9.68997,50,0,3.726,11.46,,
T,52.38639,9.68993,50,0,3.737,11.46,,
T,52.38651,9.68988,50,0,3.751,13.78,,
T,52.3866,9.68984,50,0,3.761,10.38,,
T,52.38666,9.68982,50,0,3.768,6.81,,
T,52.38688,9.68972,50,0,3.794,25.41,,
T,52.38726,9.68951,50,0,3.838,44.64,,
T,52.38736,9.68945,50,0,3.85,11.85,,
T,52.3874,9.68943,50,0,3.855,4.65,,
T,52.38757,9.68932,50,0,3.875,20.35,,
T,52.38775,9.6892,50,0,3.897,21.63,,
T,52.38785,9.68913,50,0,3.909,12.11,,
T,52.38787,9.68911,50,0,3.911,2.61,,
T,52.38798,9.68903,50,0,3.925,13.4,,
T,52.38813,9.68891,50,0,3.943,18.58,,
T,52.38825,9.68881,50,0,3.958,14.99,,
T,52.38829,9.68877,50,0,3.964,5.22,,
T,52.38836,9.6887,50,0,3.973,9.13,,
T,52.38848,9.68859,50,0,3.988,15.31,,
T,52.38861,9.68846,50,0,4.005,16.96,,
T,52.3887,9.68836,50,0,4.017,12.11,,
T,52.3888,9.68826,50,0,4.03,13.04,,
T,52.38887,9.68818,50,0,4.04,9.5,,
T,52.38894,9.68809,50,0,4.05,9.91,,
T,52.38899,9.68803,50,0,4.056,6.9,,
T,52.38904,9.68796,50,0,4.064,7.33,,
T,52.3892,9.68775,50,0,4.087,22.83,,
T,52.38926,9.68767,50,0,4.095,8.62,,
T,52.38934,9.68755,50,0,4.107,12.08,,
T,52.38942,9.68743,50,0,4.119,12.08,,
T,52.3895,9.6873,50,0,4.132,12.55,,
T,52.38955,9.68722,50,0,4.14,7.79,,
T,52.38957,9.6872,50,0,4.142,2.61,,
T,52.38965,9.68705,50,0,4.156,13.55,,
T,52.3897,9.68696,50,0,4.164,8.28,,
T,52.3898,9.68679,50,0,4.18,16.06,,
T,52.38985,9.68668,50,0,4.19,9.33,,
T,52.38996,9.68646,50,0,4.209,19.34,,
T,52.39001,9.68635,50,0,4.218,9.33,,
