type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.57775,5.35634,9.7,0,21.947,14.46,,
T,51.57788,5.35633,11.7,357.3,21.962,14.48,,
T,51.57834,5.35633,16,0,22.013,51.18,,
T,51.57874,5.35631,16,358.2,22.057,44.53,,
T,51.57889,5.35631,16,0,22.074,16.69,,
T,51.57905,5.35631,16,0,22.092,17.8,,
T,51.57931,5.3563,16,358.6,22.121,28.94,,
T,51.57956,5.35629,16,358.6,22.149,27.82,,
T,51.57971,5.35629,16,0,22.165,16.69,,
T,51.57984,5.35629,16,0,22.18,14.46,,
T,51.58005,5.35628,15.7,358.3,22.203,23.37,,
T,51.58024,5.35626,14.3,356.3,22.224,21.18,,
T,51.5804,5.35625,14.9,357.8,22.242,17.81,,
T,51.58057,5.35623,16,355.8,22.261,18.96,,
T,51.58084,5.3562,16,356.1,22.291,30.11,,
T,51.5821,5.35598,15,353.8,22.432,141.01,,
T,51.58249,5.35588,14.7,350.9,22.476,43.94,,
T,51.58273,5.3558,15,348.3,22.503,27.27,,
T,51.58299,5.35572,14.2,349.2,22.533,29.45,,
T,51.58319,5.35564,13.6,346,22.556,22.93,,
T,51.58343,5.35554,13.7,345.5,22.583,27.59,,
T,51.58369,5.35542,12.7,344,22.614,30.1,,
T,51.58398,5.35527,12.7,342.2,22.647,33.9,,
T,51.58414,5.3552,12.3,344.8,22.666,18.45,,
T,51.58424,5.35514,12.1,339.6,22.678,11.88,,
T,51.58434,5.3551,11.8,346,22.689,11.47,,
T,51.58444,5.35504,11.7,339.6,22.701,11.88,,
T,51.58455,5.35499,11.6,344.2,22.714,12.72,,
T,51.58464,5.35494,11.4,341,22.724,10.6,,
T,51.58475,5.35487,11.3,338.4,22.738,13.17,,
T,51.58496,5.35476,10.9,342,22.762,24.58,,
T,51.58506,5.3547,10.8,339.6,22.774,11.88,,
T,51.58516,5.35463,10.6,336.5,22.786,12.14,,
T,51.58523,5.3546,10.5,345.1,22.794,8.06,,
T,51.58532,5.35454,10.4,337.5,22.805,10.84,,
T,51.58557,5.35438,9.2,338.3,22.835,29.94,,
T,51.58583,5.35421,9.8,337.9,22.866,31.24,,
T,51.58601,5.35408,10,335.8,22.888,21.96,,
T,51.58608,5.35403,10,336.1,22.897,8.52,,
T,51.58631,5.35386,10,335.3,22.925,28.17,,
T,51.58646,5.35374,9.6,333.6,22.944,18.65,,
T,51.58672,5.35353,9.4,333.4,22.976,32.38,,
T,51.58696,5.35333,8.9,332.6,23.006,30.09,,
T,51.58714,5.35318,8.7,332.6,23.029,22.56,,
T,51.58732,5.35302,9,331.1,23.051,22.89,,
T,51.58748,5.35288,9,331.5,23.072,20.27,,
T,51.58767,5.3527,9,329.5,23.096,24.55,,
T,51.58786,5.35251,9,328.1,23.121,24.91,,
T,51.58799,5.35239,9.1,330.2,23.138,16.68,,
T,51.58813,5.35224,8.7,326.3,23.157,18.73,,
T,51.58828,5.35208,8.6,326.5,23.177,20.04,,
T,51.58845,5.35191,8.6,328.1,23.199,22.28,,
T,51.58854,5.3518,8.6,322.8,23.212,12.59,,
T,51.58861,5.35172,8.8,324.6,23.221,9.56,,
T,51.5887,5.35162,8.7,325.4,23.233,12.18,,
T,51.58876,5.35155,8.7,324.1,23.242,8.25,,
T,51.58883,5.35147,8.8,324.6,23.251,9.56,,
T,51.58897,5.35131,8.8,324.6,23.27,19.12,,
T,51.58902,5.35125,8.8,323.3,23.277,6.95,,
T,51.58924,5.35099,8.7,323.7,23.308,30.39,,
T,51.58938,5.35082,9,323,23.327,19.53,,
T,51.58949,5.35067,8.9,319.7,23.343,16.06,,
T,51.58958,5.35057,8.9,325.4,23.355,12.18,,
T,51.58967,5.35046,9.1,322.8,23.368,12.59,,
T,51.58975,5.35035,8.9,319.5,23.38,11.72,,
T,51.58991,5.35014,9,320.8,23.403,22.99,,
T,51.59009,5.34992,8.5,322.8,23.428,25.17,,
T,51.59025,5.3497,9,319.5,23.451,23.44,,
T,51.59033,5.34959,8.6,319.5,23.463,11.72,,
T,51.59051,5.34936,8.5,321.6,23.489,25.6,,
T,51.59067,5.34915,8.6,320.8,23.512,22.99,,
T,51.59084,5.34892,8.8,320,23.536,24.73,,
T,51.59092,5.34882,8.5,322.2,23.548,11.28,,
T,51.59101,5.3487,8.6,320.4,23.561,13.02,,
T,51.5911,5.34859,9,322.8,23.573,12.58,,
T,51.59117,5.34849,8.8,318.4,23.584,10.43,,
T,51.59134,5.34827,9.1,321.2,23.608,24.29,,
T,51.59151,5.34804,8.6,320,23.633,24.73,,
T,51.5916,5.34793,8.7,322.8,23.645,12.58,,
T,51.59176,5.34771,8.5,319.5,23.669,23.44,,
T,51.59184,5.3476,8.6,319.5,23.68,11.72,,
T,51.59193,5.34749,9,322.8,23.693,12.58,,
T,51.59202,5.34737,8.7,320.4,23.706,13.02,,
T,51.5921,5.34727,8.8,322.2,23.717,11.28,,
T,51.59226,5.34706,8.8,320.8,23.74,22.99,,
T,51.59243,5.34684,8.5,321.2,23.765,24.29,,
T,51.5926,5.34662,8.4,321.2,23.789,24.29,,
T,51.59272,5.34646,8.6,320.4,23.806,17.35,,
T,51.59286,5.34629,8.6,323,23.826,19.53,,
T,51.59303,5.34607,9,321.2,23.85,24.29,,
T,51.59327,5.34575,8.5,320.4,23.885,34.71,,
T,51.59344,5.34553,8.7,321.2,23.909,24.29,,
T,51.59361,5.34531,8.9,321.2,23.933,24.29,,
T,51.59369,5.34521,8.6,322.2,23.945,11.28,,
T,51.59377,5.34511,8.5,322.2,23.956,11.28,,
T,51.59395,5.34488,8.7,321.6,23.981,25.6,,
T,51.59404,5.34476,8.4,320.4,23.994,13.02,,
T,51.59412,5.34466,8.4,322.2,24.006,11.28,,
T,51.59422,5.34454,8.5,323.3,24.02,13.89,,
T,51.5943,5.34443,8.6,319.5,24.031,11.72,,
T,51.59438,5.34433,8.6,322.2,24.043,11.28,,
T,51.59455,5.34411,8.4,321.2,24.067,24.29,,
T,51.59463,5.34401,8.4,322.2,24.078,11.28,,
T,51.59472,5.3439,8.9,322.8,24.091,12.58,,
T,51.5948,5.34379,8.6,319.5,24.102,11.72,,
T,51.59498,5.34357,9,322.8,24.128,25.17,,
T,51.59523,5.34325,8.5,321.5,24.163,35.57,,
T,51.59549,5.34292,8.6,321.7,24.2,36.87,,
T,51.59565,5.34272,8.7,322.2,24.223,22.56,,
T,51.59574,5.3426,8.8,320.4,24.236,13.02,,
T,51.59582,5.3425,9,322.2,24.247,11.28,,
T,51.596,5.34228,8.8,322.8,24.272,25.17,,
T,51.59616,5.34208,8.7,322.2,24.295,22.56,,
T,51.59626,5.34195,8.5,321.1,24.309,14.32,,
T,51.59642,5.34175,8.6,322.2,24.332,22.56,,
T,51.59656,5.34158,8.6,323,24.351,19.53,,
T,51.59668,5.34143,8.8,322.2,24.368,16.92,,
T,51.59677,5.34132,8.4,322.8,24.381,12.58,,
T,51.59694,5.34111,9,322.5,24.404,23.86,,
T,51.59703,5.341,8.6,322.8,24.417,12.58,,
T,51.59711,5.3409,8.7,322.2,24.428,11.28,,
T,51.5972,5.34079,9,322.8,24.441,12.58,,
T,51.59729,5.34068,8.6,322.8,24.453,12.58,,
T,51.59736,5.34059,8.4,321.4,24.463,9.98,,
T,51.59754,5.34037,8.5,322.8,24.489,25.17,,
T,51.59772,5.34015,8.6,322.8,24.514,25.17,,
T,51.59789,5.33994,8.4,322.5,24.538,23.86,,
T,51.59806,5.33973,8.9,322.5,24.562,23.86,,
T,51.5982,5.33955,8.6,321.4,24.581,19.95,,
T,51.59833,5.3394,9,324.4,24.599,17.81,,
T,51.59849,5.3392,8.4,322.2,24.622,22.56,,
T,51.59868,5.33897,8.4,323.1,24.648,26.47,,
T,51.59876,5.33887,8.5,322.2,24.66,11.28,,
T,51.59883,5.33878,8.4,321.4,24.67,9.98,,
T,51.599,5.33857,8.2,322.5,24.693,23.86,,
T,51.59918,5.33835,7.9,322.8,24.719,25.17,,
T,51.59934,5.33815,7.8,322.2,24.741,22.56,,
T,51.59952,5.33795,7.8,325.4,24.766,24.35,,
T,51.59969,5.33774,8,322.5,24.789,23.86,,
T,51.59978,5.33763,7.8,322.8,24.802,12.58,,
T,51.59986,5.33752,7.9,319.5,24.814,11.72,,
T,51.59995,5.33742,8,325.4,24.826,12.18,,
T,51.60002,5.33733,7.9,321.4,24.836,9.98,,
T,51.60013,5.3372,7.6,323.7,24.851,15.2,,
T,51.60028,5.33701,7.8,321.8,24.872,21.26,,
T,51.60041,5.33686,7.7,324.4,24.89,17.81,,
T,51.60055,5.3367,7.9,324.6,24.909,19.12,,
T,51.60064,5.33659,7.6,322.8,24.922,12.58,,
T,51.60072,5.33649,7.6,322.2,24.933,11.28,,
T,51.60089,5.33629,7.7,323.8,24.957,23.45,,
T,51.60098,5.33617,7.4,320.4,24.97,13.02,,
T,51.60108,5.33606,7.3,325.7,24.983,13.49,,
T,51.60115,5.33597,7.4,321.4,24.993,9.98,,
T,51.6013,5.3358,7.3,324.9,25.013,20.43,,
T,51.60137,5.33571,7,321.4,25.023,9.98,,
T,51.60146,5.3356,7,322.8,25.036,12.58,,
T,51.60163,5.3354,7,323.8,25.059,23.45,,
T,51.60177,5.33523,6.7,323,25.079,19.53,,
T,51.60201,5.33493,6.8,322.2,25.113,33.84,,
T,51.60231,5.33457,6.7,323.3,25.155,41.67,,
T,51.60261,5.3342,6.9,322.5,25.197,42.09,,
T,51.60275,5.33402,7,321.4,25.217,19.95,,
T,51.60292,5.3338,6.7,321.2,25.241,24.29,,
T,51.60298,5.33372,6.7,320.4,25.25,8.68,,
T,51.60304,5.33364,6.9,320.4,25.258,8.68,,
T,51.60314,5.3335,6.8,319,25.273,14.76,,
T,51.60325,5.33336,6.9,321.7,25.289,15.62,,
T,51.60365,5.33283,7,320.5,25.346,57.7,,
T,51.60398,5.33238,6.8,319.7,25.394,48.17,,
T,51.60426,5.33199,6.9,319.1,25.436,41.24,,
T,51.60453,5.33159,6.8,317.4,25.477,40.87,,
T,51.60476,5.33126,6.9,318.3,25.511,34.32,,
T,51.60484,5.33114,7,317,25.523,12.18,,
T,51.60508,5.33081,6.7,319.5,25.558,35.15,,
T,51.60517,5.33067,6.7,316,25.572,13.94,,
T,51.60548,5.33021,7,317.3,25.619,46.96,,
T,51.60563,5.32999,6.7,317.7,25.642,22.6,,
T,51.60579,5.32975,6.9,317,25.666,24.36,,
T,51.60601,5.32941,7,316.2,25.7,33.97,,
T,51.60623,5.32908,6.7,317,25.734,33.49,,
T,51.60635,5.32888,7,314,25.753,19.24,,
T,51.6064,5.3288,7,315.2,25.761,7.85,,
T,51.60648,5.32867,6.9,314.7,25.773,12.66,,
T,51.60679,5.32819,7,316.1,25.821,47.91,,
T,51.60695,5.32792,7,313.7,25.847,25.82,,
T,51.60709,5.32771,7,317,25.868,21.31,,
T,51.60718,5.32755,7,312.2,25.883,14.94,,
T,51.6073,5.32734,7.5,312.6,25.903,19.75,,
T,51.6076,5.32685,7.6,314.6,25.951,47.61,,
T,51.60781,5.3265,7.5,314,25.984,33.67,,
T,51.60792,5.3263,7.7,311.5,26.003,18.49,,
T,51.60798,5.3262,7.8,314,26.012,9.62,,
T,51.6084,5.32548,8.7,313.2,26.081,68.35,,
T,51.60858,5.32516,8,312.2,26.111,29.87,,
T,51.60873,5.3249,7.7,312.9,26.135,24.55,,
T,51.60889,5.3246,8,310.7,26.163,27.36,,
T,51.60901,5.3244,7.6,314,26.182,19.24,,
T,51.60916,5.32413,8,311.8,26.207,25.07,,
T,51.60937,5.32375,7.6,311.7,26.242,35.2,,
T,51.60958,5.32339,7.4,313.2,26.276,34.17,,
T,51.60975,5.3231,7.8,313.3,26.304,27.59,,
T,51.60989,5.32287,7.4,314.4,26.326,22.28,,
T,51.60998,5.32272,7.3,314,26.341,14.43,,
T,51.61014,5.32248,7.5,317,26.365,24.36,,
T,51.6103,5.32224,7,317,26.389,24.36,,
T,51.61044,5.32204,7.3,318.4,26.41,20.85,,
T,51.61052,5.32192,7.1,317,26.422,12.18,,
T,51.61069,5.32169,7,320,26.447,24.73,,
T,51.61079,5.32156,7.1,321.1,26.461,14.31,,
T,51.61086,5.32146,6.9,318.4,26.472,10.42,,
T,51.6109,5.3214,6.8,317,26.478,6.09,,
T,51.61102,5.32125,6.7,322.2,26.495,16.92,,
T,51.61112,5.32113,6.9,323.3,26.509,13.89,,
T,51.61122,5.32102,6.7,325.7,26.522,13.49,,
T,51.6113,5.32092,6.8,322.2,26.533,11.28,,
T,51.61138,5.32083,7,325.1,26.544,10.87,,
T,51.61146,5.32073,6.8,322.2,26.556,11.28,,
T,51.61155,5.32064,6.8,328.2,26.567,11.8,,
T,51.61164,5.32054,7,325.4,26.579,12.18,,
T,51.61172,5.32045,6.9,325.1,26.59,10.87,,
T,51.61182,5.32035,6.9,328.2,26.603,13.11,,
T,51.6119,5.32027,7,328.2,26.614,10.48,,
T,51.61199,5.32017,6.9,325.4,26.626,12.18,,
T,51.61216,5.32001,7,329.7,26.648,21.92,,
T,51.61228,5.3199,6.9,330.4,26.663,15.37,,
T,51.61246,5.31973,7,329.6,26.687,23.23,,
T,51.61256,5.31965,6.8,333.6,26.699,12.43,,
T,51.61266,5.31957,6.7,333.6,26.712,12.43,,
T,51.61275,5.31949,6.9,331.1,26.723,11.44,,
T,51.61285,5.31941,6.8,333.6,26.735,12.43,,
T,51.61294,5.31933,6.7,331.1,26.747,11.44,,
T,51.61304,5.31925,6.7,333.6,26.759,12.43,,
T,51.61314,5.31918,6.7,336.5,26.771,12.14,,
T,51.61323,5.31911,6.5,334.2,26.783,11.13,,
T,51.61338,5.31901,6.5,337.5,26.801,18.07,,
T,51.61374,5.31877,6.4,337.5,26.844,43.37,,
T,51.61403,5.31859,6.5,338.9,26.879,34.59,,
T,51.61404,5.31859,6.5,0,26.88,1.11,,
T,51.61432,5.31843,6.3,340.5,26.913,33.07,,
T,51.61456,5.31831,6,342.8,26.941,27.97,,
T,51.61476,5.31821,6,342.8,26.964,23.31,,
T,51.61507,5.31807,6,344.3,27,35.83,,
T,51.61532,5.31797,6,346.1,27.028,28.66,,
T,51.6156,5.31786,6.1,346.3,27.061,32.07,,
T,51.61579,5.31779,6.1,347.1,27.082,21.69,,
T,51.61582,5.31778,6,348.3,27.086,3.41,,
T,51.61609,5.31769,6,348.3,27.116,30.68,,
T,51.6163,5.31761,6,346.7,27.14,24.01,,
T,51.61671,5.31747,6,348,27.187,46.64,,
T,51.61686,5.31742,6,348.3,27.204,17.04,,
T,51.61718,5.31731,6,348,27.24,36.41,,
T,51.61724,5.31728,6,342.8,27.247,6.99,,
T,51.61735,5.31725,6,350.4,27.26,12.41,,
T,51.61757,5.31717,6,347.3,27.285,25.1,,
T,51.6176,5.31716,6,348.3,27.288,3.41,,
T,51.61792,5.31705,6,348,27.325,36.41,,
T,51.6185,5.31685,6,347.9,27.391,66,,
T,51.61859,5.31682,6,348.3,27.401,10.23,,
T,51.61949,5.31651,5.9,347.9,27.503,102.41,,
T,51.61972,5.31644,5.8,349.3,27.529,26.05,,
T,51.62152,5.3158,5.6,347.6,27.735,205.11,,
T,51.62267,5.31541,5.5,348.1,27.865,130.77,,
T,51.62288,5.31533,5.5,346.7,27.889,24.01,,
T,51.62309,5.31526,5,348.3,27.913,23.86,,
T,51.62329,5.31519,5.3,347.7,27.936,22.77,,
T,51.62351,5.31511,5.6,347.3,27.961,25.1,,
T,51.62383,5.315,5.2,348,27.997,36.41,,
T,51.62414,5.31489,5,347.6,28.033,35.32,,
T,51.62435,5.31482,5,348.3,28.057,23.86,,
T,51.62445,5.31479,5,349.4,28.068,11.32,,
T,51.62456,5.31475,5,347.3,28.081,12.55,,
T,51.62467,5.31471,5,347.3,28.093,12.55,,
T,51.62488,5.31464,5,348.3,28.117,23.86,,
T,51.62506,5.31457,5,346.4,28.138,20.61,,
T,51.6252,5.31453,5,349.9,28.153,15.82,,
T,51.62521,5.31453,5,0,28.154,1.11,,
T,51.62541,5.31445,5,346.1,28.177,22.93,,
T,51.62562,5.31438,5,348.3,28.201,23.86,,
T,51.62582,5.31431,5,347.7,28.224,22.77,,
T,51.62604,5.31424,5,348.8,28.249,24.95,,
T,51.62628,5.31415,5,346.9,28.276,27.42,,
T,51.62645,5.31409,5,347.6,28.296,19.37,,
T,51.62658,5.31405,5,349.2,28.311,14.73,,
T,51.62667,5.31402,5,348.3,28.321,10.23,,
T,51.62699,5.31391,5,348,28.357,36.41,,
T,51.62731,5.3138,5,348,28.394,36.41,,
T,51.62748,5.31374,5,347.6,28.413,19.37,,
T,51.62763,5.31369,5.3,348.3,28.43,17.04,,
T,51.62784,5.31362,5.8,348.3,28.454,23.86,,
T,51.62798,5.31357,5.3,347.5,28.47,15.96,,
T,51.62808,5.31354,5.3,349.5,28.481,11.32,,
T,51.62827,5.31348,5.5,348.9,28.503,21.54,,
T,51.6284,5.31344,5.6,349.2,28.517,14.73,,
T,51.62847,5.31341,5.7,345.1,28.525,8.06,,
T,51.62878,5.31331,6,348.7,28.561,35.18,,
T,51.62893,5.31326,5.9,348.3,28.578,17.04,,
T,51.62902,5.31323,5.7,348.3,28.588,10.23,,
T,51.62951,5.31307,5.9,348.5,28.644,55.63,,
T,51.62999,5.31292,6,349,28.698,54.41,,
T,51.63016,5.31286,6,347.6,28.717,19.37,,
T,51.63039,5.31279,6,349.3,28.743,26.04,,
T,51.63056,5.31274,6,349.7,28.763,19.23,,
T,51.63075,5.31267,6,347.1,28.784,21.69,,
T,51.63096,5.31261,6,349.9,28.808,23.73,,
T,51.63124,5.31252,6,348.7,28.84,31.77,,
T,51.63145,5.31246,6.1,349.9,28.863,23.73,,
T,51.63205,5.31227,6.8,348.9,28.932,68.04,,
T,51.63211,5.31225,6.9,348.3,28.938,6.82,,
T,51.63219,5.31223,7,351.2,28.947,9.01,,
T,51.63292,5.31201,6.6,349.4,29.03,82.64,,
T,51.63302,5.31197,6.8,346.1,29.041,11.47,,
T,51.63313,5.31194,6.7,350.4,29.054,12.41,,
T,51.63346,5.31184,5.7,349.3,29.091,37.36,,
T,51.63377,5.31175,6,349.8,29.126,35.05,,
T,51.63384,5.31173,6.5,349.9,29.134,7.91,,
T,51.63408,5.31167,7,351.2,29.161,27.02,,
T,51.63438,5.31158,7,349.5,29.195,33.95,,
T,51.63458,5.31153,6.8,351.2,29.218,22.52,,
T,51.63472,5.3115,6.6,352.4,29.233,15.71,,
T,51.63473,5.3115,6.6,0,29.235,1.11,,
T,51.63477,5.31149,6.6,351.2,29.239,4.5,,
T,51.63518,5.31139,7,351.4,29.285,46.14,,
T,51.63547,5.31133,6.5,352.7,29.318,32.53,,
T,51.63564,5.31129,6.4,351.7,29.337,19.12,,
T,51.63576,5.31127,6.4,354.1,29.35,13.42,,
T,51.63593,5.31124,6.5,353.7,29.369,19.03,,
T,51.63623,5.31118,6.8,352.9,29.403,33.64,,
T,51.63664,5.31111,6.1,354,29.449,45.87,,
T,51.63696,5.31106,6,354.5,29.485,35.77,,
T,51.63704,5.31105,6,355.6,29.493,8.93,,
T,51.63705,5.31105,6,0,29.495,1.11,,
T,51.63729,5.31102,6,355.6,29.521,26.78,,
T,51.63762,5.31098,6,355.7,29.558,36.82,,
T,51.63784,5.31095,6,355.2,29.583,24.57,,
T,51.6382,5.31091,5.9,356.1,29.623,40.15,,
T,51.63835,5.3109,5.8,357.6,29.64,16.7,,
T,51.6387,5.31087,5.9,357,29.679,39,,
T,51.63892,5.31085,6,356.8,29.703,24.52,,
T,51.63901,5.31085,6,0,29.713,10.01,,
T,51.63925,5.31083,6,357,29.74,26.74,,
T,51.63942,5.31081,6,355.8,29.759,18.96,,
T,51.63947,5.31081,6,0,29.764,5.56,,
T,51.63955,5.3108,6,355.6,29.773,8.93,,
T,51.63973,5.31079,6,358,29.793,20.04,,
T,51.64002,5.31075,6,355.1,29.826,32.38,,
T,51.6401,5.31073,6,351.2,29.835,9.01,,
T,51.64031,5.3107,6,354.9,29.858,23.46,,
T,51.64052,5.31066,6,353.3,29.882,23.53,,
T,51.64064,5.31064,6,354.1,29.895,13.42,,
T,51.64072,5.31062,6,351.2,29.904,9.01,,
T,51.64077,5.31061,6,352.9,29.91,5.61,,
T,51.64086,5.31059,6,352.1,29.92,10.11,,
T,51.64108,5.31054,6,352,29.945,24.72,,
T,51.64134,5.31048,6,351.9,29.974,29.22,,
T,51.6415,5.31044,6,351.2,29.992,18.02,,
T,51.64165,5.3104,6,350.6,30.009,16.92,,
T,51.64182,5.31035,6,349.7,30.028,19.23,,
T,51.64211,5.31025,6,347.9,30.061,33,,
T,51.64244,5.31014,6,348.3,30.098,37.5,,
T,51.64257,5.31009,6,346.6,30.113,14.87,,
T,51.64278,5.31001,6,346.7,30.137,24.01,,
T,51.64304,5.3099,6,345.3,30.167,29.91,,
T,51.64307,5.30989,6,348.3,30.171,3.41,,
T,51.64326,5.30981,6,345.4,30.193,21.85,,
T,51.64347,5.30971,6,343.5,30.217,24.37,,
T,51.64367,5.30962,6,344.4,30.24,23.11,,
T,51.64371,5.3096,6,342.8,30.245,4.66,,
T,51.644,5.30944,6,341.1,30.279,34.11,,
T,51.64431,5.30926,5.8,340.2,30.315,36.67,,
T,51.64457,5.30912,5.5,341.5,30.346,30.51,,
T,51.64473,5.30904,5.5,342.8,30.365,18.64,,
T,51.64498,5.3089,6,340.8,30.394,29.45,,
T,51.64527,5.30873,5.6,340,30.428,34.34,,
T,51.64556,5.30857,5.1,341.1,30.463,34.11,,
T,51.64591,5.30836,5.7,339.6,30.504,41.57,,
T,51.64605,5.3083,5.3,345.1,30.52,16.12,,
T,51.64696,5.30778,5,340.5,30.628,107.45,,
T,51.64729,5.30758,5.5,339.4,30.667,39.24,,
T,51.64809,5.30713,5,340.8,30.761,94.3,,
T,51.64814,5.3071,4.9,339.6,30.767,5.94,,
T,51.6484,5.30696,4.1,341.5,30.798,30.51,,
T,51.64881,5.30673,3.6,340.8,30.846,48.31,,
T,51.64887,5.30669,3.2,337.5,30.853,7.23,,
T,51.649,5.30661,3.3,339.1,30.869,15.49,,
T,51.64943,5.30637,2,340.9,30.919,50.64,,
T,51.64962,5.30625,1.8,338.6,30.942,22.71,,
T,51.64992,5.30609,0.3,341.7,30.977,35.17,,
T,51.65013,5.30597,0.7,340.5,31.002,24.8,,
T,51.65033,5.30585,0.6,339.6,31.026,23.75,,
T,51.65034,5.30585,0.6,0,31.027,1.11,,
T,51.65061,5.3057,1.2,341,31.059,31.78,,
T,51.65073,5.30562,0.8,337.5,31.073,14.45,,
T,51.65085,5.30556,0.2,342.8,31.087,13.98,,
T,51.65115,5.30539,2,340.6,31.122,35.39,,
T,51.65124,5.30533,1.9,337.5,31.133,10.84,,
T,51.65155,5.30516,2.9,341.2,31.17,36.44,,
T,51.65169,5.30507,3.3,338.3,31.187,16.78,,
T,51.65185,5.30498,3,340.8,31.205,18.86,,
T,51.65209,5.30484,3.7,340.1,31.234,28.41,,
T,51.65215,5.30481,4,342.8,31.241,6.99,,
T,51.65221,5.30478,4.2,342.8,31.248,6.99,,
T,51.65226,5.30475,4.1,339.6,31.254,5.94,,
T,51.65236,5.30469,4,339.6,31.266,11.88,,
T,51.65247,5.30463,4,341.3,31.279,12.92,,
T,51.65281,5.30444,5,340.9,31.319,40.05,,
T,51.65287,5.30441,5,342.8,31.326,6.99,,
T,51.65298,5.30435,5,341.3,31.338,12.92,,
T,51.65333,5.30417,5,342.3,31.379,40.89,,
T,51.65346,5.3041,5,341.5,31.395,15.25,,
T,51.65363,5.30402,5,343.7,31.414,19.71,,
T,51.65371,5.30398,5,342.8,31.424,9.32,,
T,51.65379,5.30394,5,342.8,31.433,9.32,,
T,51.65388,5.3039,5,344.6,31.443,10.39,,
T,51.65396,5.30387,5,346.9,31.453,9.14,,
T,51.65437,5.3037,5,345.6,31.5,47.11,,
T,51.65458,5.30361,5,345.1,31.524,24.18,,
T,51.65476,5.30354,5,346.4,31.544,20.6,,
T,51.65497,5.30346,5,346.7,31.568,24.01,,
T,51.65528,5.30335,5,347.6,31.604,35.32,,
T,51.65537,5.30332,5,348.3,31.614,10.23,,
T,51.65547,5.30329,5,349.5,31.625,11.32,,
T,51.65558,5.30325,5,347.3,31.638,12.55,,
T,51.65571,5.30322,5,351.9,31.652,14.61,,
T,51.65579,5.30319,5,346.9,31.662,9.14,,
T,51.65587,5.30317,4.9,351.2,31.671,9.01,,
T,51.656,5.30313,4.8,349.2,31.685,14.73,,
T,51.65615,5.30309,4.9,350.6,31.702,16.92,,
T,51.65645,5.30302,5,351.8,31.736,33.73,,
T,51.65653,5.30301,5,355.6,31.745,8.93,,
T,51.65674,5.30296,5,351.6,31.769,23.62,,
T,51.65697,5.30292,5,353.8,31.794,25.74,,
T,51.65719,5.30289,5,355.2,31.819,24.57,,
T,51.65723,5.30288,5,351.2,31.823,4.5,,
T,51.65733,5.30287,5,356.5,31.834,11.15,,
T,51.65762,5.30282,5.4,353.9,31.867,32.45,,
T,51.65787,5.30279,6,355.7,31.895,27.89,,
T,51.65808,5.30276,6,354.9,31.918,23.46,,
T,51.65829,5.30274,6,356.6,31.942,23.41,,
T,51.6584,5.30273,6,356.8,31.954,12.26,,
T,51.65862,5.30271,6,356.8,31.978,24.52,,
T,51.65868,5.3027,6,354.1,31.985,6.71,,
T,51.65896,5.30268,6.1,357.5,32.016,31.18,,
T,51.65918,5.30266,6.4,356.8,32.041,24.52,,
T,51.6593,5.30265,6.5,357,32.054,13.37,,
T,51.65962,5.30263,6.5,357.8,32.09,35.63,,
T,51.66006,5.30261,6.7,358.4,32.139,48.97,,
T,51.66025,5.3026,7.2,358.1,32.16,21.15,,
T,51.66056,5.30259,7.7,358.9,32.194,34.5,,
T,51.66077,5.30259,7.9,0,32.218,23.36,,
T,51.66095,5.30259,8.3,0,32.238,20.03,,
T,51.66098,5.30259,8.4,0,32.241,3.34,,
T,51.66128,5.30259,8.7,0,32.275,33.38,,
T,51.66149,5.3026,8.7,1.7,32.298,23.38,,
T,51.66159,5.30261,8.8,3.5,32.309,11.15,,
T,51.6617,5.30262,8.8,3.2,32.321,12.26,,
T,51.6618,5.30263,8.8,3.5,32.333,11.15,,
T,51.66185,5.30263,8.9,0,32.338,5.56,,
T,51.66202,5.30266,9,6.2,32.357,19.03,,
T,51.66227,5.30269,9.4,4.3,32.385,27.89,,
T,51.66229,5.3027,9.5,17.2,32.387,2.33,,
T,51.66257,5.30276,10.3,7.6,32.419,31.43,,
T,51.66267,5.30278,10.6,7.1,32.43,11.21,,
T,51.66288,5.30284,10,10,32.454,23.73,,
T,51.66299,5.30287,9.8,9.6,32.466,12.41,,
T,51.66321,5.30294,9.6,11.2,32.491,24.95,,
T,51.66333,5.30299,9.5,14.5,32.505,13.79,,
T,51.66345,5.30304,9.9,14.5,32.519,13.79,,
T,51.66361,5.30311,10.4,15.2,32.537,18.45,,
T,51.66371,5.30316,10.3,17.2,32.549,11.65,,
T,51.66384,5.30322,10.7,16,32.564,15.05,,
T,51.66401,5.30332,11,20,32.584,20.14,,
T,51.66414,5.30339,10.3,18.5,32.599,15.25,,
T,51.66432,5.3035,10.2,20.8,32.621,21.42,,
T,51.66443,5.30357,10.9,21.5,32.634,13.16,,
T,51.66451,5.30362,10.9,21.2,32.643,9.55,,
T,51.6646,5.30369,10.2,25.8,32.654,11.12,,
T,51.66461,5.30369,10.3,0,32.656,1.11,,
T,51.66481,5.30383,10.5,23.5,32.68,24.27,,
T,51.66491,5.30391,10.4,26.4,32.692,12.43,,
T,51.6652,5.30415,10.5,27.2,32.729,36.29,,
T,51.66529,5.30423,9.6,28.9,32.74,11.44,,
T,51.66538,5.30431,7.3,28.9,32.751,11.44,,
