type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.43614,5.45205,20,342.7,1.927,6.99,,
T,51.43647,5.45184,20,338.4,1.967,39.51,,
T,51.43659,5.45176,20,337.4,1.981,14.46,,
T,51.4366,5.45175,20,328.1,1.982,1.31,,
T,51.4368,5.45164,20,341.1,2.006,23.53,,
T,51.43726,5.4514,20,342,2.06,53.83,,
T,51.43773,5.45116,20,342.3,2.115,54.89,,
T,51.43837,5.45083,19,342.2,2.189,74.81,,
T,51.43881,5.4506,19,342,2.241,51.5,,
T,51.43903,5.45051,19,345.7,2.266,25.26,,
T,51.43912,5.45047,19,344.5,2.277,10.39,,
T,51.43939,5.4504,19,350.8,2.307,30.43,,
T,51.43969,5.45032,19,350.6,2.341,33.84,,
T,51.43969,5.45032,19,350.6,2.341,0,,
T,51.43973,5.45031,19,351.1,2.345,4.5,,
T,51.4398,5.4503,19,354.9,2.353,7.82,,
T,51.43996,5.45025,19,349,2.371,18.14,,
T,51.44013,5.45021,19,351.7,2.39,19.12,,
T,51.44018,5.45021,19,0,2.396,5.56,,
T,51.44028,5.45018,19,349.4,2.407,11.32,,
T,51.44028,5.45018,19,349.4,2.407,0,,
T,51.44045,5.45012,19,347.6,2.427,19.37,,
T,51.44075,5.45003,19,349.4,2.461,33.96,,
T,51.44091,5.45,19,353.3,2.479,17.92,,
T,51.44091,5.45,19,353.3,2.479,0,,
T,51.44096,5.45009,19,48.3,2.487,8.37,,
T,51.44101,5.45015,19,36.8,2.494,6.95,,
T,51.44107,5.45021,19,31.9,2.502,7.87,,
T,51.44114,5.45024,19,15,2.51,8.06,,
T,51.44121,5.45026,19,10.1,2.518,7.91,,
T,51.44128,5.45026,19,0,2.526,7.79,,
T,51.44135,5.45024,19,349.9,2.533,7.91,,
T,51.44141,5.4502,19,337.4,2.541,7.23,,
T,51.44147,5.45015,19,332.6,2.548,7.53,,
T,51.44153,5.45008,19,324,2.557,8.26,,
T,51.44157,5.44999,19,305.5,2.564,7.68,,
T,51.44161,5.4499,19,305.5,2.572,7.68,,
T,51.44165,5.44969,19,287,2.587,15.26,,
T,51.44164,5.44957,19,262.4,2.596,8.42,,
T,51.44162,5.44947,19,252.2,2.603,7.3,,
T,51.44161,5.44943,19,248.1,2.606,3,,
T,51.44159,5.44937,19,241.9,2.611,4.73,,
T,51.44156,5.44931,19,231.3,2.616,5.34,,
T,51.44152,5.44924,19,227.5,2.623,6.59,,
T,51.44147,5.44918,19,216.8,2.629,6.95,,
T,51.44146,5.44916,19,231.3,2.631,1.78,,
T,51.44138,5.4491,19,205.1,2.641,9.83,,
T,51.44137,5.44885,19,266.3,2.658,17.42,,
T,51.44137,5.4487,19,270,2.669,10.43,,
