type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,51.22955,6.77101,35.9,-2.5,1.421,44.06,,
T,51.22945,6.77098,35.6,-2.9,1.432,11.32,,
T,51.22941,6.77097,35.5,-1,1.437,4.5,,
T,51.2293,6.77094,35.5,-0.5,1.449,12.42,,
T,51.22923,6.77093,35.5,1,1.457,7.82,,
T,51.22913,6.77091,35.6,0.6,1.468,11.21,,
T,51.22905,6.7709,35.7,1,1.477,8.93,,
T,51.22887,6.77089,36,1.5,1.497,20.04,,
T,51.22871,6.77087,36,0,1.515,17.86,,
T,51.22855,6.77085,36,0,1.533,17.86,,
T,51.22842,6.77085,36,0,1.547,14.46,,
T,51.22834,6.77085,36,0,1.556,8.9,,
T,51.22833,6.77085,36,0,1.557,1.11,,
T,51.22811,6.77084,36,0,1.582,24.49,,
T,51.22789,6.77085,36,0,1.606,24.49,,
T,51.22779,6.77085,36,0,1.617,11.13,,
T,51.22763,6.77086,35.9,-0.3,1.635,17.81,,
T,51.22761,6.77086,35.9,-0.3,1.637,2.23,,
T,51.22743,6.77086,35.9,-0.1,1.657,20.03,,
T,51.22714,6.77084,36,0.2,1.69,32.29,,
T,51.22707,6.77083,36,-0.2,1.697,7.82,,
T,51.22689,6.77081,36,-0.1,1.718,20.07,,
T,51.22679,6.7708,35.9,-0.9,1.729,11.15,,
T,51.22654,6.77075,35.4,-1.8,1.757,28.03,,
T,51.22653,6.77075,35.4,-0.3,1.758,1.11,,
T,51.22631,6.77069,35.7,1.2,1.783,24.83,,
T,51.22612,6.77062,36,1.6,1.804,21.7,,
T,51.22601,6.77058,36,-0.2,1.817,12.55,,
T,51.226,6.77058,36,-0.3,1.818,1.11,,
T,51.22591,6.77055,36,0,1.828,10.23,,
T,51.22575,6.77049,35.5,-2.4,1.847,18.29,,
T,51.22555,6.77043,35,-2.3,1.869,22.64,,
T,51.22553,6.77043,35.1,3.2,1.871,2.23,,
T,51.2255,6.77042,35.2,3.2,1.875,3.41,,
T,51.22537,6.77035,35.7,3.1,1.89,15.27,,
T,51.22534,6.77033,35.8,3,1.894,3.62,,
T,51.22527,6.77029,35.9,1.7,1.902,8.27,,
T,51.22514,6.77021,34.4,-9.9,1.917,15.51,,
T,51.225,6.77013,33.5,-5.2,1.934,16.55,,
T,51.22482,6.77003,34.4,4.1,1.955,21.21,,
T,51.22451,6.76982,35.8,3.6,1.993,37.48,,
T,51.22447,6.76979,35.9,2.9,1.998,4.92,,
T,51.22409,6.76953,35.4,-1.1,2.044,46.01,,
T,51.224,6.76947,35.6,1.5,2.054,10.85,,
T,51.22398,6.76945,35.7,3.2,2.057,2.63,,
T,51.22393,6.76942,35.7,0,2.063,5.94,,
T,51.22377,6.76931,35.4,-1.1,2.082,19.39,,
T,51.22357,6.76918,36,2.3,2.106,24.03,,
T,51.22331,6.769,35.4,-1.8,2.138,31.54,,
T,51.22308,6.76884,35.5,0.5,2.166,27.92,,
T,51.22265,6.76856,35.6,0.1,2.218,51.68,,
T,51.22227,6.7683,35.5,-0.3,2.264,46.01,,
T,51.22199,6.7681,35.6,0.3,2.298,34.14,,
T,51.22197,6.76808,35.7,6.1,2.3,2.63,,
T,51.2215,6.76779,35.6,-0.2,2.356,56.08,,
T,51.22148,6.76777,35.6,0.3,2.359,2.63,,
T,51.22118,6.76754,35.8,0.4,2.396,37.04,,
T,51.22116,6.76753,35.8,2.4,2.398,2.33,,
T,51.22087,6.76732,35.8,0,2.434,35.44,,
T,51.22072,6.76721,36,0.8,2.452,18.37,,
T,51.22056,6.7671,36,0.1,2.472,19.39,,
T,51.22051,6.76707,36,0.1,2.478,5.94,,
T,51.22039,6.76699,36,0,2.492,14.47,,
T,51.22023,6.76688,36,0.2,2.511,19.39,,
T,51.22002,6.76674,36.7,2.5,2.537,25.33,,
T,51.21986,6.76663,36.6,-0.6,2.556,19.39,,
T,51.21979,6.76659,36.5,-1.3,2.564,8.27,,
T,51.21973,6.76655,36.4,-0.2,2.572,7.24,,
T,51.21956,6.76639,37,2.5,2.594,21.97,,
T,51.21952,6.76636,37,0.1,2.599,4.92,,
T,51.21936,6.76622,37,0,2.619,20.31,,
T,51.21933,6.76619,37,0,2.623,3.94,,
T,51.21926,6.76613,37,0,2.632,8.84,,
T,51.21926,6.76612,37,0,2.632,0.7,,
T,51.21925,6.76611,37,0,2.634,1.31,,
T,51.21924,6.7661,37,0,2.635,1.31,,
T,51.21923,6.76609,37,0,2.636,1.31,,
T,51.21922,6.76607,37,0,2.638,1.79,,
T,51.21921,6.76607,37,0,2.639,1.11,,
T,51.21921,6.76606,37,0,2.64,0.7,,
T,51.21915,6.76598,36.9,-0.7,2.649,8.71,,
T,51.21913,6.76594,36.9,-2,2.652,3.57,,
T,51.21912,6.76594,36.8,-3.2,2.653,1.11,,
T,51.21909,6.76589,36.7,-2.2,2.658,4.83,,
T,51.21908,6.76588,36.7,-2.7,2.659,1.31,,
T,51.21908,6.76587,36.7,0,2.66,0.7,,
T,51.21906,6.76585,36.6,-2.7,2.663,2.63,,
T,51.21894,6.76568,36.6,0.1,2.681,17.87,,
T,51.21868,6.76529,37,0.9,2.72,39.74,,
T,51.21857,6.76511,37,0,2.738,17.55,,
T,51.21856,6.7651,37,0,2.739,1.31,,
T,51.21844,6.7649,37,0,2.759,19.33,,
T,51.2183,6.76467,37.2,0.7,2.781,22.38,,
T,51.21822,6.76454,37.4,1.8,2.794,12.72,,
T,51.21822,6.76453,37.4,3.1,2.794,0.7,,
T,51.21815,6.76441,37.4,-0.2,2.806,11.44,,
T,51.21805,6.76424,37,-2.3,2.822,16.27,,
T,51.21799,6.76412,37.3,2.4,2.833,10.72,,
T,51.21797,6.76408,37.4,4.9,2.836,3.57,,
T,51.21796,6.76406,37.5,4,2.838,1.79,,
T,51.21789,6.76392,37.7,1.7,2.851,12.5,,
T,51.21781,6.76375,37.2,-3.3,2.866,14.84,,
T,51.21755,6.76317,37,-0.5,2.915,49.79,,
T,51.21754,6.76313,37,0,2.918,3.01,,
T,51.2175,6.76306,37,0,2.925,6.61,,
T,51.21744,6.76296,37,0,2.935,9.66,,
T,51.21741,6.7629,37,0,2.94,5.36,,
T,51.21736,6.76282,37,0,2.948,7.89,,
T,51.2173,6.76272,37,0,2.958,9.66,,
T,51.21724,6.76263,37,0,2.967,9.17,,
T,51.21716,6.76251,37.4,3.6,2.979,12.23,,
T,51.2171,6.76243,37.9,5.1,2.988,8.71,,
T,51.21704,6.76235,38.3,5,2.996,8.71,,
T,51.21697,6.76227,38.8,5.3,3.006,9.59,,
T,51.21695,6.76225,39,5.5,3.009,2.63,,
T,51.21694,6.76224,39,5.3,3.01,1.31,,
T,51.21685,6.76214,40.2,9.3,3.022,12.21,,
T,51.21645,6.76174,42.9,5.3,3.075,52.55,,
T,51.21618,6.76155,39.6,-10.3,3.107,32.84,,
T,51.21596,6.76145,37.6,-7.9,3.133,25.45,,
T,51.21575,6.76136,37.4,-0.6,3.157,24.19,,
T,51.21562,6.76131,38.1,4.4,3.172,14.88,,
T,51.2156,6.7613,38.2,4.6,3.174,2.33,,
T,51.21557,6.76129,38.3,4.2,3.178,3.41,,
T,51.21525,6.76116,39.8,4.2,3.214,36.74,,
T,51.21522,6.76116,39.9,0.6,3.218,3.34,,
T,51.21507,6.7611,39.8,-0.2,3.235,17.21,,
T,51.215,6.76107,39.1,-8.8,3.243,8.06,,
T,51.21494,6.76105,37.7,-21.2,3.25,6.82,,
T,51.21479,6.76099,34.8,-16.5,3.267,17.21,,
T,51.21476,6.76098,34.4,-11.6,3.27,3.41,,
T,51.21466,6.76094,34.4,-0.3,3.282,11.47,,
T,51.21445,6.76086,35.2,3.2,3.306,24.02,,
T,51.21418,6.76075,35,-0.5,3.337,31.01,,
T,51.21401,6.76067,35.2,1.2,3.357,19.72,,
T,51.21391,6.76063,35.2,0.1,3.368,11.47,,
T,51.21384,6.7606,35.2,-1.1,3.376,8.06,,
T,51.21373,6.76055,35,-1.3,3.389,12.73,,
T,51.21366,6.76052,35,0,3.397,8.06,,
T,51.21328,6.76031,35.7,1.7,3.442,44.75,,
T,51.21318,6.76025,37.3,12.7,3.454,11.89,,
T,51.21309,6.7602,38.5,12.1,3.464,10.6,,
T,51.21302,6.76015,38.9,4.6,3.473,8.54,,
T,51.21283,6.76,39,0.3,3.496,23.59,,
T,51.21262,6.75982,38.2,-3.2,3.523,26.53,,
T,51.2123,6.75954,37.8,-0.8,3.564,40.62,,
T,51.21215,6.75941,37.6,-0.9,3.583,19,,
T,51.21204,6.75933,37.2,-3.3,3.596,13.45,,
T,51.21198,6.75928,37.1,-2,3.604,7.53,,
T,51.21188,6.75922,37,-0.8,3.615,11.89,,
T,51.21181,6.75918,37,0.3,3.624,8.27,,
T,51.21164,6.75909,37,0.2,3.644,19.93,,
T,51.21147,6.759,37.4,2,3.664,19.93,,
T,51.2112,6.75885,38.4,3.2,3.695,31.81,,
T,51.21107,6.7588,37.9,-3.9,3.71,14.88,,
T,51.2109,6.75875,35.7,-11.1,3.73,19.23,,
T,51.21058,6.75865,35.6,-0.2,3.766,36.28,,
T,51.21044,6.75857,35.3,-1.8,3.782,16.55,,
T,51.2103,6.75848,35.2,-1.2,3.799,16.8,,
T,51.21024,6.75842,35,-1.4,3.807,7.88,,
T,51.21018,6.75837,35,0.1,3.815,7.53,,
T,51.21013,6.75834,35,-0.6,3.82,5.94,,
T,51.21001,6.75828,35.2,1.3,3.834,13.99,,
T,51.20999,6.75827,35.2,2.4,3.837,2.33,,
T,51.20972,6.7581,35.2,-0.3,3.869,32.3,,
T,51.20969,6.75808,35.2,0.7,3.873,3.62,,
T,51.2096,6.75804,35.5,2.7,3.883,10.4,,
T,51.20954,6.75801,35.7,3.4,3.89,7,,
T,51.20933,6.75796,36,1.2,3.914,23.62,,
T,51.20858,6.75758,36.4,0.4,4.001,87.56,,
T,51.20842,6.75751,36.7,1.8,4.02,18.46,,
T,51.20841,6.7575,36.7,1.9,4.021,1.31,,
T,51.2083,6.75745,37,2.2,4.034,12.73,,
T,51.20825,6.75743,37,0,4.04,5.74,,
T,51.20819,6.7574,37,0,4.047,7,,
T,51.20807,6.75735,37,0,4.06,13.8,,
T,51.20769,6.75717,37,0,4.104,44.11,,
T,51.20744,6.75707,37,0,4.133,28.68,,
T,51.20708,6.75699,37,0,4.174,40.44,,
T,51.20706,6.75699,37,0,4.176,2.23,,
T,51.20706,6.75699,37,,4.176,0,,
T,51.20694,6.75693,37,0,4.19,13.99,,
T,51.20684,6.75688,37,0,4.201,11.66,,
T,51.20676,6.75684,37,0,4.211,9.33,,
T,51.20667,6.75681,37,0,4.221,10.23,,
T,51.20661,6.75679,37,0,4.228,6.82,,
T,51.20652,6.75677,37,0,4.238,10.11,,
T,51.20635,6.75675,37,0,4.257,18.96,,
T,51.20605,6.75672,37,0,4.29,33.44,,
T,51.20586,6.75671,37,0,4.312,21.15,,
T,51.2056,6.75666,37,-0.1,4.341,29.14,,
T,51.2053,6.75658,37,0,4.374,33.84,,
T,51.20477,6.75641,37,0,4.435,60.15,,
T,51.20433,6.75628,37,0,4.484,49.79,,
T,51.20405,6.75621,37,0,4.516,31.53,,
T,51.20313,6.75596,37.3,0.3,4.62,103.83,,
T,51.20291,6.7559,37.2,-0.4,4.645,24.83,,
T,51.20285,6.75589,37.2,-0.5,4.651,6.71,,
T,51.20281,6.75587,37.1,-1.5,4.656,4.66,,
T,51.20265,6.75582,37.4,1.7,4.674,18.14,,
T,51.20263,6.75581,37.5,2.1,4.676,2.33,,
T,51.20246,6.75573,37.7,1,4.696,19.72,,
T,51.20237,6.75566,37.7,-0.1,4.707,11.14,,
T,51.20229,6.75558,37.8,1,4.718,10.51,,
T,51.20214,6.75543,37.7,-0.5,4.738,19.71,,
T,51.20198,6.75523,37.7,0,4.76,22.63,,
T,51.20189,6.75512,37.5,-1.1,4.773,12.62,,
T,51.20162,6.75481,37.4,-0.3,4.81,37.04,,
T,51.2013,6.75444,38,1.2,4.854,44,,
T,51.2013,6.75444,38,,4.854,0,,
T,51.20123,6.75429,37.5,-3.5,4.867,13.06,,
T,51.20104,6.75401,37.6,0.2,4.896,28.81,,
T,51.20098,6.75394,37.6,-0.1,4.904,8.28,,
T,51.20095,6.75351,37.6,0,4.934,30.24,,
T,51.20094,6.75335,37.6,0.3,4.945,11.24,,
T,51.20091,6.7531,37.5,-0.7,4.963,17.79,,
T,51.20085,6.75261,37.9,1.1,4.998,34.89,,
T,51.20078,6.75215,37.8,-0.2,5.031,33.08,,
T,51.20072,6.75181,37.8,-0.1,5.056,24.68,,
T,51.20072,6.75176,37.9,2.1,5.059,3.49,,
T,51.20068,6.75158,37.7,-1.1,5.073,13.34,,
T,51.20065,6.75144,37.4,-2.7,5.083,10.34,,
T,51.20062,6.75132,37.5,1,5.092,9.03,,
T,51.20054,6.75104,37.9,1.7,5.114,21.5,,
T,51.20051,6.7509,37.8,-1,5.124,10.34,,
T,51.20047,6.75075,37.6,-1.9,5.135,11.39,,
T,51.20027,6.74997,37.9,0.6,5.194,58.88,,
T,51.20002,6.749,37.9,-0.1,5.268,73.28,,
T,51.19993,6.74864,37.7,-0.5,5.295,27.08,,
T,51.19971,6.74777,38,0.3,5.36,65.55,,
T,51.19954,6.74711,37.5,-0.9,5.41,49.86,,
T,51.19942,6.74664,37.8,0.9,5.445,35.46,,
T,51.19923,6.7459,37.4,-0.8,5.501,55.88,,
T,51.19921,6.74581,37.5,2.2,5.508,6.67,,
T,51.19905,6.7451,37.5,-0.1,5.561,52.72,,
T,51.19887,6.74423,37.9,0.7,5.625,64.02,,
T,51.19881,6.74391,38,0.3,5.648,23.34,,
T,51.19873,6.74337,38.1,0.4,5.687,38.78,,
T,51.19863,6.74266,37.5,-1.1,5.738,50.86,,
T,51.19862,6.74256,36.6,-13.4,5.745,7.08,,
T,51.19861,6.74253,36.3,-11.6,5.747,2.37,,
T,51.1986,6.74241,36.9,7.1,5.756,8.46,,
T,51.1986,6.7424,37,15.3,5.756,0.7,,
T,51.19857,6.74211,39.1,10.1,5.777,20.54,,
T,51.19853,6.74174,39.1,0,5.803,26.24,,
T,51.19851,6.74139,39.4,1,5.828,24.57,,
T,51.19848,6.7409,39.8,1.4,5.862,34.41,,
T,51.19845,6.74038,40.6,2.1,5.899,36.5,,
T,51.19845,6.74035,40.6,0,5.901,2.1,,
T,51.19844,6.74003,41,1.7,5.923,22.39,,
T,51.19843,6.73955,42,3.1,5.957,33.57,,
T,51.19843,6.73926,42,0,5.977,20.27,,
T,51.19842,6.73899,42.2,1,5.996,18.91,,
T,51.19841,6.7386,42,-0.8,6.023,27.28,,
T,51.19841,6.73843,41.6,-3.4,6.035,11.88,,
T,51.19843,6.73799,40.6,-3,6.066,30.84,,
T,51.19845,6.73733,41.7,2.4,6.112,46.19,,
