type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.1888,16.61245,204.8,-1.8,2.174,47.27,,
T,49.18878,16.61235,204.2,-8.2,2.181,7.62,,
T,49.18875,16.61225,203.6,-7.1,2.189,8.02,,
T,49.1887,16.61191,201.6,-7.7,2.215,25.4,,
T,49.18869,16.6118,201.6,-0.9,2.223,8.1,,
T,49.1887,16.61118,201.4,-0.4,2.268,45.21,,
T,49.18872,16.61096,200.8,-3.4,2.284,16.19,,
T,49.18872,16.61096,200.8,,2.284,0,,
T,49.18866,16.61095,200.6,-3.8,2.291,6.71,,
T,49.18861,16.61094,200.4,-3.9,2.297,5.61,,
T,49.18832,16.61087,199.1,-3.8,2.329,32.65,,
T,49.1882,16.61083,199,-1,2.343,13.66,,
T,49.18815,16.61081,199,-0.4,2.349,5.75,,
T,49.1881,16.61077,199,-0.1,2.355,6.28,,
T,49.18805,16.61072,199,0.2,2.362,6.65,,
T,49.18787,16.61045,198.8,-0.5,2.39,28.07,,
T,49.18763,16.60983,201.8,5.6,2.442,52.49,,
T,49.18759,16.60972,201.7,-1.1,2.451,9.17,,
T,49.18755,16.60965,201.6,-1.2,2.458,6.77,,
T,49.18753,16.60961,201.6,0.1,2.462,3.67,,
T,49.18748,16.60956,201.4,-2.7,2.468,6.65,,
T,49.1862,16.60883,200.7,-0.4,2.62,151.97,,
T,49.18502,16.60819,200,-0.5,2.76,139.28,,
T,49.18498,16.60817,200.2,4.7,2.764,4.68,,
T,49.18494,16.60816,200.5,4.8,2.769,4.51,,
T,49.18485,16.60813,201,5.3,2.779,10.25,,
T,49.18471,16.60811,201.6,3.9,2.795,15.64,,
T,49.18444,16.60814,201.7,0.2,2.825,30.11,,
T,49.18401,16.60824,199.4,-4.6,2.873,48.37,,
T,49.18395,16.6082,199.2,-3,2.88,7.28,,
T,49.18395,16.6082,199.2,,2.88,0,,
T,49.18383,16.60807,198.6,-3.9,2.897,16.37,,
T,49.18377,16.60797,198.3,-3,2.907,9.88,,
T,49.18373,16.60786,198.3,-0.2,2.916,9.17,,
T,49.18369,16.60766,198.7,2.9,2.931,15.24,,
T,49.18379,16.60742,199.7,5,2.952,20.73,,
T,49.18384,16.60727,200,1.8,2.964,12.27,,
T,49.18385,16.60718,200,0.5,2.971,6.65,,
T,49.18386,16.60709,200,0,2.977,6.65,,
T,49.18386,16.6069,200,0,2.991,13.85,,
T,49.18382,16.60678,200,0,3.001,9.81,,
T,49.18372,16.60657,200,0,3.02,18.92,,
T,49.1837,16.60653,200,0,3.024,3.67,,
T,49.18368,16.60647,200,0,3.029,4.91,,
T,49.18366,16.60643,200,0,3.032,3.67,,
T,49.18365,16.60639,200,0,3.035,3.12,,
T,49.18364,16.60618,200,0,3.051,15.35,,
T,49.18364,16.60616,200,0,3.052,1.46,,
T,49.18365,16.6058,201.1,4.3,3.078,26.27,,
T,49.18365,16.6056,202,5.6,3.093,14.58,,
T,49.18367,16.60509,202.2,0.7,3.13,37.25,,
T,49.18368,16.60493,202,-1.8,3.142,11.72,,
T,49.18372,16.60461,201.6,-1.5,3.166,23.75,,
T,49.18372,16.60461,201.6,,3.166,0,,
T,49.18373,16.60452,201.8,3.1,3.172,6.65,,
T,49.18374,16.60449,201.9,2.8,3.175,2.45,,
T,49.1837,16.60447,201.9,0.5,3.18,4.68,,
T,49.18366,16.60445,202,1,3.184,4.68,,
T,49.18364,16.60445,202,-0.1,3.186,2.22,,
T,49.18356,16.60441,202.1,1.3,3.196,9.36,,
T,49.18352,16.60439,202.1,0.7,3.201,4.68,,
T,49.18347,16.60438,202.1,-0.3,3.206,5.61,,
T,49.18342,16.60437,202.1,-0.5,3.212,5.61,,
T,49.18328,16.60432,201.8,-1.7,3.228,15.99,,
T,49.18305,16.60424,201,-3.1,3.254,26.24,,
T,49.18302,16.60423,201,-0.7,3.257,3.42,,
T,49.18299,16.60422,201,-0.5,3.261,3.42,,
T,49.18289,16.60418,201,0.1,3.272,11.5,,
T,49.18277,16.60414,201,0,3.286,13.66,,
T,49.18244,16.60402,200.4,-1.5,3.324,37.73,,
T,49.18226,16.60396,200.5,0.5,3.344,20.49,,
T,49.18197,16.60385,201,1.4,3.377,33.23,,
T,49.18166,16.60374,200,-2.9,3.413,35.4,,
T,49.18127,16.60364,199.4,-1.3,3.457,43.98,,
T,49.18112,16.60362,199.9,3.3,3.474,16.75,,
T,49.18096,16.60359,200.1,1,3.491,17.93,,
T,49.18069,16.60356,201,2.9,3.522,30.11,,
T,49.18042,16.60356,201.9,3.2,3.552,30.03,,
T,49.17997,16.6036,200.9,-2,3.602,50.13,,
T,49.1797,16.60364,200,-3.1,3.632,30.17,,
T,49.17944,16.60368,200,0,3.661,29.06,,
T,49.17915,16.6037,200.1,0.2,3.693,32.28,,
T,49.179,16.60372,200.6,3.2,3.71,16.75,,
T,49.17898,16.60372,200.7,3.2,3.712,2.22,,
T,49.1787,16.60373,200.6,-0.2,3.743,31.15,,
T,49.17846,16.60371,200.2,-1.7,3.77,26.73,,
T,49.1783,16.60369,200,-0.9,3.788,17.85,,
T,49.17824,16.60368,200,0,3.795,6.71,,
T,49.17796,16.60362,200,0,3.826,31.45,,
T,49.1777,16.60355,200.7,2.4,3.855,29.36,,
T,49.17726,16.60338,206.2,10.8,3.906,50.48,,
T,49.17701,16.60329,208.2,7.2,3.935,28.57,,
T,49.17689,16.60325,207.5,-5.1,3.948,13.66,,
T,49.17659,16.60314,202.9,-13.6,3.982,34.31,,
T,49.17646,16.60309,201.7,-8,3.997,14.91,,
T,49.17605,16.60293,201.9,0.5,4.044,47.07,,
T,49.17503,16.60251,205,2.6,4.162,117.5,,
T,49.1742,16.60218,203,-2,4.257,95.39,,
T,49.1738,16.60202,203.2,0.5,4.303,45.99,,
T,49.17362,16.60194,204,3.5,4.324,20.85,,
T,49.17349,16.60189,204,0.2,4.339,14.91,,
T,49.17335,16.60183,204,0,4.355,16.17,,
T,49.17316,16.60174,204.5,2.1,4.377,22.13,,
T,49.17267,16.60144,205.4,1.6,4.436,58.72,,
T,49.17265,16.60143,205.5,3.1,4.438,2.34,,
T,49.1724,16.60125,205.5,0.1,4.469,30.75,,
T,49.17215,16.60105,205,-1.6,4.501,31.4,,
T,49.17175,16.60067,206.3,2.5,4.553,52.41,,
T,49.17133,16.60029,207.8,2.7,4.607,54.31,,
T,49.17083,16.59985,209,2,4.672,64.2,,
T,49.17075,16.59979,209.3,2.9,4.681,9.91,,
T,49.17061,16.59968,209.8,3,4.699,17.51,,
T,49.17047,16.59957,210.2,1.9,4.716,17.51,,
T,49.1702,16.59938,210.7,1.7,4.75,33.07,,
T,49.16985,16.59917,209.5,-3,4.791,41.83,,
T,49.16959,16.59906,209.5,0.1,4.821,30.01,,
T,49.16934,16.59892,210,1.8,4.851,29.62,,
T,49.16905,16.59879,210.8,2.3,4.885,33.62,,
T,49.16862,16.5987,213.6,5.9,4.933,48.27,,
T,49.16785,16.59859,215.9,2.6,5.019,86.01,,
T,49.16767,16.5986,216.5,3,5.039,20.03,,
T,49.16764,16.5986,216.6,3.2,5.042,3.34,,
T,49.16735,16.59858,217.8,3.7,5.075,32.28,,
T,49.16456,16.59878,219,0.4,5.385,310.63,,
T,49.16363,16.59887,219.1,0.1,5.489,103.64,,
T,49.16345,16.59889,218.4,-3.3,5.509,20.07,,
T,49.16313,16.59892,216.5,-5.4,5.545,35.66,,
T,49.16263,16.59897,216.2,-0.6,5.6,55.73,,
T,49.16136,16.59916,216.1,-0.1,5.742,141.92,,
T,49.16118,16.59919,216.8,3.3,5.762,20.14,,
T,49.161,16.59922,217.4,3.2,5.782,20.14,,
T,49.16035,16.59932,217.3,-0.2,5.855,72.66,,
T,49.16022,16.59934,216.7,-3.8,5.87,14.53,,
T,49.15991,16.5994,215.6,-3.3,5.904,34.75,,
T,49.1596,16.59946,215,-1.6,5.939,34.75,,
T,49.15834,16.59968,215,0,6.08,141.04,,
T,49.15708,16.5999,214.1,-0.6,6.221,141.04,,
T,49.15676,16.59995,213.8,-0.9,6.257,35.77,,
T,49.15573,16.60012,212.2,-1.4,6.372,115.22,,
T,49.14514,16.60195,209.5,-0.2,7.557,1185.28,,
T,49.14495,16.60198,209.2,-1.6,7.579,21.24,,
T,49.14439,16.60208,209.6,0.7,7.641,62.7,,
T,49.14394,16.60216,210.2,1.1,7.692,50.38,,
T,49.14354,16.60222,211,1.8,7.737,44.7,,
T,49.14299,16.60232,210.8,-0.4,7.798,61.6,,
T,49.14281,16.60235,210.1,-3.2,7.818,20.14,,
T,49.14131,16.60261,210.9,0.5,7.986,167.89,,
T,49.13971,16.60289,212.9,1.1,8.165,179.11,,
T,49.1391,16.60301,209.8,-4.6,8.234,68.4,,
T,49.13901,16.60303,209.4,-3.2,8.244,10.11,,
T,49.13824,16.60317,208.3,-1.4,8.33,86.24,,
T,49.13822,16.60317,208.2,-3.2,8.332,2.22,,
T,49.13808,16.60318,207.6,-3.5,8.348,15.59,,
T,49.13744,16.60326,207.4,-0.3,8.419,71.41,,
T,49.13728,16.60328,207.8,2.3,8.437,17.85,,
T,49.13689,16.60333,208,0.4,8.481,43.53,,
T,49.1365,16.60337,207.3,-1.7,8.524,43.47,,
T,49.13618,16.6034,206.2,-3,8.56,35.66,,
T,49.13587,16.60343,206.6,1.1,8.594,34.55,,
T,49.1342,16.60355,207.2,0.4,8.78,185.93,,
T,49.1341,16.60355,207,-2.2,8.791,11.12,,
T,49.13388,16.60356,206.2,-3.3,8.816,24.48,,
T,49.13373,16.60357,206,-1.2,8.833,16.7,,
T,49.13279,16.60358,207.8,1.8,8.937,104.54,,
T,49.1319,16.6036,209,1.2,9.036,98.99,,
T,49.13166,16.60359,209,-0.2,9.063,26.7,,
T,49.1312,16.60359,208.1,-1.8,9.114,51.16,,
T,49.13082,16.60358,209,2.3,9.156,42.27,,
T,49.13046,16.60358,209.5,1.1,9.196,40.04,,
T,49.13018,16.60357,210.1,2.2,9.227,31.15,,
T,49.12991,16.60357,209.8,-1.1,9.257,30.03,,
T,49.12989,16.60357,209.8,-3.2,9.26,2.22,,
T,49.12983,16.60356,209.6,-2.7,9.266,6.71,,
T,49.12978,16.60356,209.4,-3.2,9.272,5.56,,
T,49.12973,16.60355,209.2,-2.6,9.278,5.61,,
T,49.12965,16.60356,208.9,-4.2,9.286,8.93,,
T,49.1294,16.60357,207.8,-3.7,9.314,27.81,,
T,49.12935,16.60357,207.7,-3.2,9.32,5.56,,
T,49.12906,16.60359,207,-2,9.352,32.28,,
T,49.12849,16.6036,207.5,0.7,9.415,63.4,,
T,49.12831,16.60361,208,2.8,9.436,20.03,,
T,49.12822,16.60361,208,0,9.446,10.01,,
T,49.12808,16.60362,208,-0.2,9.461,15.59,,
T,49.12785,16.60363,207.2,-3,9.487,25.59,,
T,49.12658,16.60371,207,-0.2,9.628,141.36,,
T,49.12629,16.60374,207.3,1.2,9.66,32.33,,
T,49.12618,16.60376,207.1,-1.9,9.673,12.32,,
T,49.12599,16.60376,206.4,-3.6,9.694,21.13,,
T,49.12592,16.60377,206,-4.4,9.702,7.82,,
T,49.12467,16.60388,205,-0.7,9.841,139.25,,
T,49.1246,16.60389,205,-0.1,9.849,7.82,,
T,49.12414,16.60392,205.9,1.8,9.9,51.2,,
T,49.12394,16.60394,205.2,-3.2,9.922,22.29,,
T,49.12374,16.60396,205.4,1,9.945,22.29,,
T,49.12359,16.60397,205.7,1.9,9.961,16.7,,
T,49.12327,16.604,205.6,-0.3,9.997,35.66,,
T,49.1229,16.60403,204.9,-1.6,10.038,41.21,,
T,49.1224,16.60408,204.6,-0.7,10.094,55.73,,
T,49.12024,16.60428,202.4,-0.9,10.334,240.66,,
T,49.11998,16.6043,202.5,0.4,10.363,28.95,,
T,49.11984,16.60431,202.8,1.8,10.379,15.59,,
T,49.11858,16.60442,203,0.1,10.519,140.36,,
T,49.11837,16.60444,203,0,10.543,23.4,,
T,49.11684,16.60457,200.5,-1.5,10.713,170.42,,
T,49.11344,16.60487,196.5,-1,11.092,378.75,,
T,49.11326,16.60489,197,2.2,11.112,20.07,,
T,49.1131,16.60491,197.8,4.6,11.13,17.85,,
T,49.11255,16.60493,197.7,-0.1,11.191,61.18,,
T,49.11226,16.60494,196,-5.3,11.223,32.26,,
T,49.11191,16.60495,194,-5.3,11.262,38.93,,
T,49.11135,16.60495,195.1,1.9,11.325,62.28,,
T,49.11035,16.60491,193.2,-1.8,11.436,111.25,,
T,49.10975,16.60485,194.4,1.9,11.503,66.87,,
T,49.10934,16.6048,196,3.5,11.548,45.74,,
T,49.1091,16.60478,197.4,5.1,11.575,26.73,,
T,49.10881,16.60475,197.7,1,11.607,32.33,,
T,49.10874,16.60474,197.5,-3.2,11.615,7.82,,
T,49.10866,16.60473,197.2,-3.2,11.624,8.93,,
T,49.1086,16.60472,197,-3.3,11.631,6.71,,
T,49.10855,16.60471,196.7,-3.9,11.636,5.61,,
T,49.10844,16.60469,196.3,-3.8,11.649,12.32,,
T,49.10822,16.60465,196.1,-0.5,11.673,24.64,,
T,49.10821,16.60465,196.2,3.2,11.675,1.11,,
T,49.10806,16.60462,196.6,2.6,11.691,16.82,,
T,49.10783,16.60455,197.7,4.1,11.717,26.08,,
T,49.10757,16.6045,198,1,11.747,29.14,,
T,49.10743,16.60447,198.2,1.3,11.762,15.72,,
T,49.10738,16.60446,198.4,3.2,11.768,5.61,,
T,49.10723,16.6044,199,3.4,11.785,17.25,,
T,49.10703,16.60437,199.2,0.9,11.808,22.35,,
T,49.10687,16.60434,199.6,2.6,11.825,17.93,,
T,49.10685,16.60433,199.8,4.6,11.828,2.34,,
T,49.10681,16.60432,199.9,4,11.832,4.51,,
T,49.1067,16.6043,200.4,3.8,11.845,12.32,,
T,49.10667,16.60429,200.5,4.2,11.848,3.42,,
T,49.10657,16.60426,200.7,1.1,11.859,11.33,,
T,49.10633,16.60418,200.7,0.3,11.887,27.32,,
T,49.10607,16.60409,200.3,-1.6,11.916,29.65,,
T,49.10593,16.60404,200.5,1.1,11.932,15.99,,
T,49.10579,16.60399,200.9,3.1,11.948,15.99,,
T,49.10535,16.60384,203.9,5.9,11.998,50.14,,
T,49.10519,16.60378,204.5,3.3,12.017,18.33,,
T,49.10502,16.60373,205.1,3,12.036,19.26,,
T,49.10489,16.60367,205.5,2.6,12.051,15.11,,
T,49.10468,16.60359,205.9,1.9,12.075,24.07,,
T,49.10403,16.60331,207.2,1.7,12.15,75.12,,
T,49.10392,16.60326,207.6,2.7,12.163,12.77,,
T,49.10386,16.60323,207.6,1.2,12.17,7.02,,
T,49.10308,16.60284,208.3,0.8,12.261,91.3,,
T,49.10289,16.60274,208.5,0.9,12.284,22.36,,
T,49.10286,16.60273,208.5,-2.1,12.287,3.42,,
T,49.10276,16.60269,208.3,-1.3,12.299,11.5,,
T,49.10273,16.60268,208.4,1.1,12.302,3.42,,
T,49.1023,16.60245,209.5,2.3,12.353,50.68,,
T,49.102,16.60228,209.1,-1.1,12.388,35.6,,
T,49.10127,16.60184,210.8,1.9,12.476,87.31,,
T,49.10051,16.60134,210.8,0,12.568,92.07,,
T,49.10037,16.60124,210.5,-2.1,12.585,17.2,,
T,49.10018,16.60112,210,-2,12.608,22.88,,
T,49.09992,16.60093,210.6,1.7,12.64,32.07,,
T,49.09959,16.6007,212.7,5.3,12.68,40.36,,
T,49.09906,16.6003,215.5,4.3,12.746,65.78,,
T,49.09894,16.60022,215.2,-2.1,12.761,14.57,,
T,49.09874,16.60006,214.5,-2.9,12.786,25.12,,
T,49.09861,16.59996,214,-2.9,12.802,16.2,,
T,49.09845,16.59984,213.7,-1.7,12.822,19.83,,
T,49.09844,16.59983,213.6,-3.2,12.823,1.33,,
T,49.09826,16.59969,213,-2.8,12.846,22.48,,
T,49.09794,16.59944,212.6,-1,12.886,40,,
T,49.09729,16.59894,212,-0.7,12.967,80.99,,
T,49.09681,16.59854,213.6,2.7,13.027,60.85,,
T,49.0965,16.59827,214.2,1.5,13.067,39.72,,
T,49.09618,16.59801,215.1,2.2,13.108,40.34,,
T,49.09602,16.59787,215.6,2.1,13.128,20.52,,
T,49.09578,16.59764,216.7,3.6,13.16,31.54,,
T,49.09528,16.59713,216,-1,13.227,66.93,,
T,49.09518,16.59703,215.3,-5.4,13.24,13.3,,
T,49.09478,16.59663,215,-0.6,13.293,53.22,,
T,49.09462,16.59645,214.9,-0.4,13.315,22.12,,
T,49.09461,16.59645,214.9,-0.7,13.316,1.11,,
T,49.09449,16.59631,215,0.5,13.333,16.81,,
T,49.09419,16.59599,215.4,1.1,13.374,40.73,,
T,49.09415,16.59595,215.6,2.7,13.379,5.32,,
T,49.09403,16.59582,216,2.6,13.396,16.38,,
T,49.094,16.59578,216,0.9,13.4,4.43,,
T,49.09377,16.59552,217,3,13.432,31.86,,
T,49.09356,16.59525,218,3.4,13.462,30.57,,
T,49.09334,16.595,219,3.1,13.493,30.53,,
T,49.09327,16.59492,218.8,-1.4,13.503,9.73,,
T,49.09314,16.59474,219,0.6,13.522,19.54,,
T,49.09288,16.59441,220,2.8,13.56,37.64,,
T,49.09286,16.59438,220,0,13.563,3.12,,
T,49.09273,16.5942,220.2,0.8,13.582,19.54,,
T,49.09246,16.59383,221,2.1,13.623,40.4,,
T,49.09233,16.59364,221,0,13.643,20.04,,
T,49.09209,16.59331,221.6,1.6,13.679,35.96,,
T,49.09197,16.59312,221.8,1.2,13.698,19.25,,
T,49.09154,16.59247,222.1,0.5,13.766,67.38,,
T,49.09148,16.59238,222.4,3.5,13.775,9.37,,
T,49.09112,16.5918,224,2.7,13.833,58.29,,
T,49.09099,16.59158,224,0.1,13.855,21.62,,
T,49.09087,16.59137,224,0,13.875,20.33,,
T,49.09069,16.59107,224.4,1.5,13.905,29.68,,
T,49.09063,16.59096,224.3,-1,13.915,10.44,,
T,49.0904,16.59055,224,-0.8,13.955,39.38,,
T,49.09036,16.59048,224.3,3.7,13.961,6.78,,
T,49.09028,16.59033,224.8,3.8,13.976,14.11,,
T,49.09017,16.59012,225,1,13.995,19.62,,
T,49.08994,16.58969,225,0.1,14.036,40.51,,
T,49.08982,16.58945,225.6,2.8,14.058,22.03,,
T,49.08947,16.58875,225.1,-0.8,14.122,64.26,,
T,49.08919,16.58816,223.2,-3.5,14.175,53.17,,
T,49.08903,16.58779,224.4,3.8,14.207,32.36,,
T,49.08894,16.5876,224.8,2.2,14.225,17.11,,
T,49.08874,16.58714,225,0.4,14.265,40.29,,
T,49.08848,16.58649,223.9,-2,14.32,55.59,,
T,49.08826,16.58594,224.6,1.6,14.367,47.04,,
T,49.08794,16.58506,227,3.2,14.441,73.47,,
T,49.08784,16.58481,226.5,-2.5,14.462,21.38,,
T,49.08774,16.58451,225.8,-2.9,14.487,24.57,,
T,49.08748,16.58377,224.5,-2.1,14.548,61.3,,
T,49.08717,16.58286,228.7,5.7,14.623,74.88,,
T,49.08708,16.58256,229.8,4.5,14.647,24.09,,
T,49.08705,16.58249,230,3.9,14.653,6.11,,
T,49.087,16.58231,230.5,3.7,14.668,14.28,,
T,49.08692,16.58207,230.9,1.7,14.687,19.66,,
T,49.08687,16.58193,230.7,-1.5,14.699,11.64,,
T,49.08684,16.58182,230.3,-4,14.708,8.7,,
T,49.08676,16.58157,230,-1.7,14.728,20.31,,
T,49.08668,16.58133,230,0,14.748,19.66,,
T,49.0866,16.58108,229.8,-1,14.768,20.31,,
T,49.08653,16.58083,230,1.2,14.788,19.85,,
T,49.0865,16.58074,230.5,6.1,14.795,7.37,,
T,49.08645,16.58058,231.1,5,14.808,12.94,,
T,49.08637,16.58034,232.6,7.4,14.828,19.66,,
T,49.08629,16.58009,233,2.1,14.848,20.31,,
T,49.08622,16.57984,233,0,14.868,19.85,,
T,49.08614,16.57959,232.9,-0.2,14.888,20.31,,
T,49.08606,16.57934,233,0.2,14.908,20.31,,
T,49.08599,16.57909,233,0,14.928,19.85,,
T,49.08591,16.57885,233.1,0.7,14.948,19.66,,
T,49.08583,16.5786,234,4.2,14.968,20.31,,
T,49.08547,16.57743,235.1,1.2,15.063,94.38,,
T,49.08536,16.57711,235.9,2.9,15.089,26.38,,
T,49.08528,16.57687,236.3,2,15.109,19.66,,
T,49.08502,16.57608,238.1,2.8,15.173,64.55,,
T,49.08476,16.57536,238.1,0.1,15.233,60.02,,
T,49.08468,16.57512,238.5,1.8,15.253,19.66,,
T,49.08465,16.57503,238.7,2.4,15.26,7.37,,
T,49.08434,16.57421,239.1,0.6,15.329,69.11,,
T,49.08374,16.57277,239.5,0.4,15.454,124.57,,
