type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,50.07572,14.41456,209.8,-5.4,1.899,9.37,,
T,50.07572,14.41452,209.7,-5,1.902,2.86,,
T,50.07573,14.41445,209.4,-5.6,1.907,5.13,,
T,50.07577,14.41411,199.1,-41.4,1.932,24.74,,
T,50.07579,14.41402,196.4,-40.1,1.939,6.82,,
T,50.07579,14.41398,195.3,-38.7,1.942,2.86,,
T,50.0758,14.4139,192.9,-41,1.948,5.83,,
T,50.0758,14.4139,192.9,,1.948,0,,
T,50.07582,14.41365,189.6,-18.5,1.966,18.03,,
T,50.07582,14.41355,188.5,-15.4,1.973,7.16,,
T,50.07581,14.41343,187.2,-14.2,1.981,8.66,,
T,50.07577,14.41326,186.4,-6.5,1.994,12.96,,
T,50.07572,14.41282,186.4,0,2.026,31.98,,
T,50.0757,14.41269,186.2,-2.6,2.036,9.57,,
T,50.07566,14.41231,184.9,-4.4,2.063,27.56,,
T,50.0756,14.41168,183.8,-2.4,2.109,45.59,,
T,50.07553,14.41091,183.8,0,2.165,55.67,,
T,50.07551,14.41066,184.3,2.5,2.183,18.03,,
T,50.07548,14.41038,185.6,6.7,2.203,20.32,,
T,50.0754,14.40951,189.3,5.9,2.266,62.91,,
T,50.0754,14.40951,189.3,,2.266,0,,
T,50.0754,14.40936,190.6,11.9,2.277,10.74,,
T,50.07541,14.40917,193,17.2,2.29,13.65,,
T,50.07543,14.40901,195,17.5,2.302,11.67,,
T,50.07545,14.40885,196.8,15.8,2.314,11.67,,
T,50.07547,14.40873,197.7,9.2,2.323,8.87,,
T,50.07548,14.40864,198.3,9.4,2.329,6.54,,
T,50.07549,14.40861,198.5,10.7,2.331,2.42,,
T,50.0755,14.4086,198.7,10.4,2.333,1.32,,
T,50.0755,14.40859,198.7,9.1,2.334,0.72,,
T,50.0755,14.40857,198.9,9,2.335,1.43,,
T,50.0755,14.40853,199.1,9.1,2.338,2.86,,
T,50.0755,14.40848,199.4,9.1,2.341,3.58,,
T,50.0755,14.4084,200,9,2.347,5.73,,
T,50.0755,14.40833,200.4,8.4,2.352,5.01,,
T,50.0755,14.40822,200,-5,2.36,7.87,,
T,50.07543,14.40759,199.7,-0.7,2.406,45.76,,
T,50.07543,14.40759,199.7,,2.406,0,,
T,50.07534,14.40683,205.3,10.1,2.461,55.32,,
T,50.07532,14.4066,205.5,1.4,2.478,16.61,,
T,50.07528,14.40636,203.8,-9.7,2.495,17.75,,
