type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.161000000,16.597800000,214.1,-3.9,2.273,12.84,,
T,49.160940000,16.597680000,213.6,-3.9,2.284,11.01,,
T,49.160880000,16.597530000,213.1,-4.2,2.297,12.81,,
T,49.160820000,16.597390000,213.0,-1.3,2.309,12.20,,
T,49.160770000,16.597230000,212.8,-1.4,2.322,12.93,,
T,49.160730000,16.597130000,212.6,-1.7,2.330,8.54,,
T,49.160670000,16.596940000,212.4,-1.3,2.346,15.38,,
T,49.160660000,16.596910000,212.5,1.3,2.348,2.45,,
T,49.160620000,16.596730000,212.8,2.7,2.362,13.86,,
T,49.160580000,16.596570000,213.0,1.2,2.375,12.49,,
T,49.160560000,16.596410000,213.0,0.1,2.386,11.88,,
T,49.160540000,16.596280000,213.1,1.5,2.396,9.74,,
T,49.160520000,16.596140000,213.4,2.3,2.407,10.45,,
T,49.160510000,16.596050000,213.5,1.8,2.413,6.66,,
T,49.160500000,16.595920000,213.6,1.1,2.423,9.55,,
T,49.160500000,16.595800000,213.7,1.4,2.432,8.75,,
T,49.160500000,16.595620000,214.4,4.9,2.445,13.13,,
T,49.160510000,16.595280000,215.5,4.5,2.470,24.82,,
T,49.160520000,16.595130000,215.5,-0.3,2.481,11.00,,
T,49.160570000,16.594670000,214.9,-1.7,2.515,34.01,,
T,49.160750000,16.593100000,218.6,3.2,2.631,116.25,,
T,49.160800000,16.592630000,219.2,1.5,2.666,34.73,,
T,49.160850000,16.592100000,219.8,1.6,2.705,39.05,,
T,49.160870000,16.591950000,219.6,-1.9,2.716,11.16,,
T,49.160860000,16.591770000,220.9,9.9,2.729,13.18,,
T,49.160940000,16.591100000,222.8,3.9,2.779,49.67,,
T,49.161190000,16.588700000,223.4,0.3,2.956,177.24,,
T,49.161270000,16.587950000,225.8,4.2,3.011,55.42,,
T,49.161310000,16.587580000,228.8,11.0,3.039,27.35,,
T,49.161330000,16.587400000,229.5,5.4,3.052,13.32,,
T,49.161350000,16.587120000,229.7,1.1,3.072,20.54,,
T,49.161380000,16.586680000,229.2,-1.7,3.105,32.26,,
T,49.161430000,16.585920000,231.7,4.5,3.160,55.71,,
T,49.161440000,16.585760000,233.0,11.6,3.172,11.72,,
T,49.161480000,16.585100000,234.2,2.5,3.220,48.34,,
T,49.161480000,16.584940000,234.0,-2.1,3.232,11.67,,
T,49.161500000,16.584280000,235.4,2.9,3.280,48.19,,
T,49.161520000,16.583500000,233.7,-3.0,3.337,56.93,,
T,49.161510000,16.583020000,233.0,-2.0,3.372,35.03,,
T,49.161510000,16.582630000,231.7,-4.7,3.401,28.44,,
T,49.161490000,16.581920000,232.3,1.2,3.453,51.83,,
T,49.161490000,16.581870000,232.4,4.9,3.456,3.65,,
T,49.161450000,16.581140000,232.6,0.3,3.510,53.43,,
T,49.161390000,16.580040000,231.0,-2.0,3.590,80.51,,
T,49.161350000,16.579560000,229.1,-5.3,3.625,35.29,,
T,49.161300000,16.579090000,226.4,-7.9,3.660,34.73,,
T,49.161290000,16.578970000,226.0,-4.1,3.669,8.82,,
T,49.161270000,16.578840000,226.0,0.3,3.679,9.74,,
T,49.161240000,16.578470000,227.3,4.8,3.706,27.19,,
T,49.161040000,16.576780000,229.9,2.1,3.831,125.25,,
T,49.160970000,16.576080000,226.9,-5.8,3.883,51.65,,
T,49.160920000,16.575630000,226.3,-1.9,3.916,33.29,,
T,49.160850000,16.574990000,224.9,-3.0,3.963,47.32,,
T,49.160810000,16.574550000,224.6,-0.9,3.996,32.40,,
T,49.160770000,16.574080000,226.1,4.2,4.030,34.57,,
T,49.160760000,16.573840000,226.3,1.1,4.048,17.54,,
T,49.160730000,16.573400000,226.4,0.3,4.080,32.26,,
T,49.160720000,16.573130000,226.8,2.4,4.100,19.72,,
T,49.160710000,16.572910000,227.3,2.8,4.116,16.08,,
T,49.160710000,16.572660000,227.7,2.5,4.134,18.23,,
T,49.160700000,16.572580000,227.9,2.0,4.140,5.94,,
T,49.160700000,16.572200000,229.1,4.4,4.168,27.72,,
