type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.12657,11.61943,53,0,2.056,12.12,,
T,52.12673,11.61955,53.2,1.1,2.075,19.61,,
T,52.12677,11.61958,53.1,-1.7,2.08,4.9,,
T,52.12682,11.61962,52.9,-3.1,2.086,6.2,,
T,52.12688,11.61966,52.6,-4.9,2.094,7.22,,
T,52.12697,11.61973,52.1,-4.8,2.105,11.1,,
T,52.12712,11.61984,52.3,1.4,2.123,18.31,,
T,52.12718,11.61989,52.2,-1.7,2.13,7.5,,
T,52.12731,11.61998,52,-0.9,2.146,15.72,,
T,52.12738,11.62003,52.1,0.7,2.155,8.51,,
T,52.12746,11.62009,52.3,2.2,2.165,9.8,,
T,52.1275,11.62012,52.4,2.2,2.169,4.9,,
T,52.12756,11.62016,52.7,3.3,2.177,7.22,,
T,52.12758,11.62018,52.7,3.1,2.179,2.61,,
T,52.12768,11.62025,53,1.8,2.191,12.12,,
T,52.12771,11.62027,53,0.8,2.195,3.61,,
T,52.12779,11.62033,53,0.1,2.205,9.8,,
T,52.12787,11.62038,53,0,2.214,9.54,,
T,52.12791,11.62041,53,0,2.219,4.9,,
T,52.12805,11.6205,53,0,2.236,16.75,,
T,52.1281,11.62053,53,0,2.242,5.93,,
T,52.12819,11.62059,52.8,-1.8,2.253,10.82,,
T,52.12829,11.62065,52.8,0.3,2.265,11.86,,
T,52.12834,11.62068,53,2.7,2.271,5.93,,
T,52.12841,11.62072,53,0,2.279,8.26,,
T,52.1286,11.62082,53,0,2.301,22.22,,
T,52.12866,11.62085,52.9,-1.4,2.308,6.99,,
T,52.1287,11.62088,52.8,-2.6,2.313,4.9,,
T,52.12878,11.62092,52.8,-0.2,2.322,9.31,,
T,52.12892,11.62099,53,1.5,2.338,16.3,,
T,52.12901,11.62104,53,0,2.349,10.58,,
T,52.12909,11.62108,53,0,2.358,9.31,,
T,52.12912,11.6211,53,0,2.362,3.61,,
T,52.12918,11.62113,53,-0.3,2.369,6.99,,
T,52.12925,11.62116,53.1,1.8,2.377,8.06,,
T,52.1293,11.62119,53.2,1.2,2.383,5.93,,
T,52.12961,11.62135,53.7,1.3,2.419,36.19,,
T,52.12973,11.62142,53.7,0.1,2.433,14.19,,
T,52.12991,11.62152,53.5,-0.6,2.455,21.17,,
T,52.12997,11.62156,53.8,3.6,2.462,7.22,,
T,52.13015,11.62167,54,0.8,2.483,21.4,,
