type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.16386,11.48741,516,0,1.526,12.84,,
T,48.16386,11.4874,516,0,1.527,0.74,,
T,48.16383,11.48722,516,0,1.54,13.8,,
T,48.16382,11.48706,516,0,1.552,11.95,,
T,48.16381,11.48705,516,0,1.554,1.34,,
T,48.1638,11.48688,516,0,1.566,12.69,,
T,48.1638,11.48687,516,0,1.567,0.74,,
T,48.1638,11.48678,516,0,1.574,6.69,,
T,48.16379,11.48672,516,0,1.578,4.6,,
T,48.16379,11.48664,516,0,1.584,5.95,,
T,48.16379,11.48661,516,0,1.587,2.23,,
T,48.16379,11.48654,516,0,1.592,5.21,,
T,48.16379,11.48651,516,0,1.594,2.23,,
T,48.16379,11.48645,516,0,1.598,4.46,,
T,48.16379,11.48637,516,0,1.604,5.95,,
T,48.16379,11.48629,516,0,1.61,5.95,,
T,48.16379,11.4862,516,0,1.617,6.69,,
T,48.16379,11.48613,516,0,1.622,5.21,,
T,48.1638,11.48604,516,0,1.629,6.79,,
T,48.1638,11.48601,516,0,1.631,2.23,,
T,48.1638,11.48597,516,0,1.634,2.98,,
T,48.16381,11.48593,516,0,1.637,3.18,,
T,48.16382,11.48576,516,0,1.65,12.69,,
T,48.16385,11.48545,516.3,1.4,1.673,23.3,,
T,48.16386,11.48531,516.8,4.4,1.684,10.47,,
T,48.16387,11.48519,517.2,5.1,1.693,9,,
T,48.16388,11.48505,517.8,5.2,1.703,10.47,,
T,48.16393,11.48457,515.4,-6.7,1.74,36.14,,
T,48.16394,11.48438,514.8,-3.9,1.754,14.18,,
T,48.16394,11.48438,514.8,,1.754,0,,
T,48.16395,11.48429,514.8,-0.5,1.76,6.79,,
T,48.16396,11.48416,514.8,-0.3,1.77,9.73,,
T,48.16397,11.48408,514.8,0.8,1.776,6.05,,
T,48.16397,11.48399,514.9,1.4,1.783,6.69,,
T,48.16398,11.48384,515,0.9,1.794,11.21,,
T,48.16399,11.48377,515,0,1.799,5.32,,
T,48.16399,11.48375,515,0,1.801,1.49,,
T,48.16399,11.48367,515,0,1.807,5.95,,
T,48.164,11.48351,515,0,1.819,11.95,,
T,48.16401,11.48341,515,0,1.826,7.52,,
T,48.16401,11.48327,515.2,2.2,1.837,10.41,,
T,48.16402,11.48302,516,4.1,1.855,18.63,,
T,48.16402,11.483,516,0,1.857,1.49,,
T,48.16402,11.48298,516,0,1.858,1.49,,
T,48.16403,11.48274,515.9,-0.4,1.876,17.89,,
T,48.16403,11.48253,515.5,-2.5,1.892,15.62,,
T,48.16403,11.4825,515.5,-2.5,1.894,2.23,,
T,48.16403,11.48248,515.5,0,1.896,1.49,,
T,48.16403,11.48244,515.5,0,1.899,2.98,,
T,48.16404,11.48212,515.5,-0.2,1.922,23.83,,
T,48.16404,11.48205,515.5,0,1.928,5.21,,
T,48.16405,11.48164,515.4,-0.1,1.958,30.52,,
T,48.16405,11.48148,515.4,0,1.97,11.9,,
T,48.16406,11.48131,515.6,1.1,1.983,12.69,,
T,48.16406,11.48115,515.9,3,1.995,11.9,,
T,48.16407,11.4809,516,0.5,2.013,18.63,,
T,48.16407,11.48086,516,0,2.016,2.98,,
T,48.16408,11.4806,516,0,2.036,19.37,,
T,48.16409,11.48022,516,0,2.064,28.29,,
T,48.16409,11.48021,516,0,2.065,0.74,,
T,48.16411,11.47994,516,0,2.085,20.21,,
T,48.16411,11.47984,516,0,2.092,7.44,,
T,48.16412,11.47968,516,0,2.104,11.95,,
T,48.16414,11.4793,516,0,2.133,28.35,,
T,48.16419,11.4787,517.6,3.5,2.178,44.98,,
T,48.16421,11.47843,517.8,1.2,2.198,20.21,,
T,48.16423,11.4781,517.8,-0.3,2.222,24.65,,
T,48.16426,11.47768,517,-2.5,2.254,31.42,,
T,48.16427,11.47748,517,-0.2,2.269,14.92,,
T,48.16432,11.47681,516.2,-1.5,2.319,50.15,,
T,48.16436,11.4764,516.3,0.3,2.35,30.82,,
T,48.16438,11.47616,516.9,3.1,2.368,17.99,,
T,48.16442,11.47563,517,0.3,2.407,39.68,,
T,48.16443,11.47553,517,0,2.415,7.52,,
T,48.16452,11.47434,517,0,2.504,89.09,,
T,48.16458,11.47346,517,0,2.57,65.8,,
T,48.1646,11.47327,517,0,2.584,14.31,,
T,48.1646,11.47318,517,0,2.591,6.69,,
T,48.1646,11.47314,517,0,2.594,2.98,,
T,48.16464,11.4726,517,0,2.634,40.41,,
T,48.16465,11.47239,516.9,-0.7,2.65,15.66,,
T,48.16467,11.47212,516.9,-0.1,2.67,20.21,,
T,48.16467,11.47202,516.9,0.9,2.678,7.44,,
T,48.16469,11.47167,517,0.2,2.704,26.13,,
T,48.16469,11.47161,517,0,2.708,4.46,,
T,48.1647,11.47134,517,0,2.728,20.12,,
T,48.16473,11.47068,517,0,2.777,49.21,,
T,48.16475,11.47021,517,0,2.813,35.03,,
T,48.16476,11.47007,517,0,2.823,10.47,,
T,48.16476,11.46985,517,0,2.839,16.37,,
T,48.16477,11.46967,517,0,2.853,13.44,,
T,48.16478,11.46871,517,0,2.924,71.42,,
T,48.16478,11.4684,517,0,2.947,23.06,,
T,48.16478,11.46783,517,0,2.99,42.4,,
T,48.16477,11.46754,517,0,3.011,21.6,,
T,48.16478,11.4675,517,0,3.014,3.18,,
T,48.16481,11.46741,517,0,3.022,7.48,,
T,48.16481,11.46732,517,0,3.029,6.69,,
T,48.16481,11.46708,517.5,2.9,3.046,17.85,,
T,48.16481,11.46669,518,1.7,3.076,29.01,,
T,48.1648,11.46631,518,0,3.104,28.29,,
T,48.1648,11.46599,518,0,3.128,23.8,,
T,48.16478,11.46589,518,0,3.135,7.76,,
T,48.16477,11.46554,518,0,3.161,26.06,,
T,48.16477,11.46527,518,0,3.182,20.08,,
T,48.16477,11.46516,518,0,3.19,8.18,,
T,48.16477,11.46499,518,0,3.202,12.65,,
T,48.16477,11.46473,518,0,3.222,19.34,,
T,48.16478,11.46445,518,0,3.243,20.86,,
T,48.16478,11.4641,518,0,3.269,26.04,,
T,48.16478,11.46353,518.2,0.5,3.311,42.4,,
T,48.16478,11.46348,518.4,3.8,3.315,3.72,,
T,48.16478,11.4631,518.8,1.5,3.343,28.27,,
T,48.16478,11.46296,518.8,0,3.353,10.41,,
T,48.16478,11.46253,518.8,0,3.385,31.99,,
T,48.16478,11.46242,518.9,0.7,3.394,8.18,,
T,48.16478,11.46187,519,0.4,3.434,40.91,,
T,48.16478,11.46168,519,0,3.449,14.13,,
T,48.16478,11.46131,518.9,-0.2,3.476,27.52,,
T,48.16477,11.46082,518,-2.6,3.513,36.47,,
T,48.16477,11.46071,518,0,3.521,8.18,,
T,48.16477,11.46057,518,0,3.531,10.41,,
T,48.16476,11.4602,518,0,3.559,27.55,,
T,48.16475,11.45994,518,0,3.578,19.37,,
T,48.16474,11.45977,518,0,3.591,12.69,,
T,48.16473,11.4597,518,0,3.596,5.32,,
T,48.16471,11.45944,518,0,3.616,19.47,,
T,48.16469,11.45922,518,0,3.632,16.52,,
T,48.16468,11.45908,517.7,-2.5,3.643,10.47,,
T,48.16467,11.45891,517.2,-3.8,3.655,12.69,,
T,48.16466,11.45887,517.3,0.8,3.658,3.18,,
T,48.16466,11.45883,517.4,3.8,3.661,2.98,,
T,48.16466,11.45877,517.6,3.7,3.666,4.46,,
T,48.16466,11.4587,517.8,3.8,3.671,5.21,,
T,48.16467,11.45864,517.9,3.6,3.676,4.6,,
T,48.16467,11.45857,518,1.6,3.681,5.21,,
T,48.16468,11.4585,518,0,3.686,5.32,,
T,48.16469,11.45844,518,0,3.691,4.6,,
T,48.1647,11.45837,518,0,3.696,5.32,,
T,48.16472,11.45827,518,0,3.704,7.76,,
T,48.16474,11.45821,518,-0.7,3.709,4.99,,
T,48.16475,11.45816,518,-0.1,3.713,3.88,,
T,48.16476,11.45811,518,0.3,3.717,3.88,,
T,48.16477,11.45807,518,0.6,3.72,3.18,,
T,48.16479,11.45801,517.9,-2.3,3.725,4.99,,
T,48.16488,11.45785,517.7,-1.3,3.74,15.55,,
T,48.16491,11.45775,517.6,-0.9,3.749,8.15,,
T,48.16513,11.45724,517.5,-0.3,3.794,45.14,,
T,48.16519,11.45712,517.8,3,3.805,11.14,,
T,48.16523,11.45704,517.9,1.9,3.812,7.43,,
T,48.1654,11.45677,518,0.2,3.84,27.58,,
T,48.16554,11.45654,518,0,3.863,23.13,,
T,48.16573,11.45626,518,0,3.893,29.67,,
T,48.16579,11.45616,518,0,3.903,9.99,,
T,48.16592,11.45596,517.9,-0.7,3.923,20.74,,
T,48.16604,11.45578,518,0.8,3.942,18.9,,
T,48.16608,11.45571,518,0,3.949,6.85,,
T,48.1661,11.45568,518,0,3.952,3.15,,
