type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.78177,9.18553,244.3,-3.6,1.928,13.96,,
T,48.78184,9.18528,243.6,-3.2,1.948,19.95,,
T,48.78207,9.18468,246,4.6,1.999,50.98,,
T,48.78219,9.18432,246.9,3,2.028,29.63,,
T,48.7823,9.18397,246.9,0.2,2.057,28.48,,
T,48.7823,9.18397,246.9,,2.057,0,,
T,48.78238,9.18368,246,-4.2,2.08,23.09,,
T,48.78241,9.18357,245.5,-4.8,2.089,8.75,,
T,48.78252,9.18315,243.5,-6.1,2.122,33.2,,
T,48.78253,9.18313,243.5,1.5,2.124,1.84,,
T,48.78276,9.18235,247.9,7,2.187,62.77,,
T,48.78276,9.18234,247.9,0.7,2.187,0.73,,
T,48.78279,9.18225,248,1.4,2.195,7.41,,
T,48.78283,9.18212,248.8,7,2.205,10.54,,
T,48.78286,9.18203,249.3,6.5,2.213,7.41,,
T,48.78298,9.18168,250.5,4.2,2.242,28.98,,
T,48.783,9.1816,250.4,-1.3,2.248,6.29,,
T,48.78302,9.18155,250.3,-3.4,2.252,4.3,,
T,48.78308,9.1814,250,-2,2.265,12.89,,
T,48.78312,9.18132,249.7,-4.2,2.272,7.37,,
T,48.78318,9.18116,248.8,-6.6,2.286,13.52,,
T,48.78321,9.18108,248.4,-6.3,2.293,6.76,,
T,48.78327,9.18093,247.7,-5.1,2.306,12.89,,
T,48.78331,9.18085,247.2,-6.8,2.313,7.37,,
T,48.78333,9.1808,247,-4.7,2.317,4.3,,
T,48.78347,9.18047,247.9,3.2,2.346,28.82,,
T,48.78351,9.18037,248.9,11.2,2.355,8.59,,
T,48.78364,9.18024,251,12.2,2.372,17.33,,
T,48.78368,9.18015,251.2,2.3,2.38,7.97,,
T,48.78371,9.1801,251.3,1.5,2.385,4.96,,
T,48.78376,9.18001,251.4,1.7,2.394,8.64,,
T,48.78378,9.17995,251.6,2.9,2.399,4.94,,
T,48.78387,9.17979,251.8,1.6,2.414,15.44,,
T,48.78387,9.17979,251.8,,2.414,0,,
T,48.78398,9.17961,250.3,-8.2,2.432,18.02,,
T,48.784,9.17959,250,-11.4,2.435,2.67,,
T,48.78401,9.17957,249.8,-11,2.436,1.84,,
T,48.78407,9.1795,249,-10.3,2.445,8.43,,
T,48.7841,9.17947,248.6,-9.3,2.449,4,,
T,48.78411,9.17945,248.4,-8.8,2.451,1.84,,
T,48.78415,9.17942,248.1,-6.5,2.456,4.96,,
T,48.78418,9.1794,248,-1.9,2.459,3.65,,
T,48.78435,9.17934,248.4,1.9,2.479,19.41,,
T,48.7844,9.17941,248.7,4.3,2.486,7.57,,
T,48.78452,9.17955,249,1.6,2.503,16.85,,
T,48.78459,9.17963,249,0,2.513,9.75,,
T,48.78475,9.17977,249.1,0.5,2.534,20.55,,
T,48.78486,9.17983,249.5,3,2.547,13,,
T,48.78493,9.17987,249.7,3,2.555,8.32,,
T,48.78501,9.17991,250,2.4,2.564,9.37,,
T,48.78517,9.17997,249.5,-2.8,2.583,18.33,,
T,48.7853,9.18,248.9,-3.7,2.597,14.62,,
T,48.78539,9.18003,248.6,-3.6,2.607,10.25,,
T,48.78552,9.18008,247.9,-4.5,2.622,14.92,,
T,48.78557,9.18009,247.9,0.4,2.628,5.61,,
T,48.78571,9.18017,250,12.3,2.645,16.64,,
T,48.78581,9.18023,251.6,13.7,2.657,11.96,,
T,48.78585,9.18024,252.3,15.5,2.661,4.51,,
T,48.78611,9.18032,257,15.9,2.691,29.51,,
T,48.78614,9.18032,257.2,6.3,2.694,3.34,,
T,48.78618,9.18033,257.4,5.7,2.698,4.51,,
T,48.78633,9.18038,258.3,4.9,2.715,17.08,,
T,48.78634,9.18038,258.3,5.3,2.717,1.11,,
T,48.78668,9.18047,260,4.2,2.755,38.38,,
T,48.78671,9.18047,259.8,-3.2,2.758,3.34,,
T,48.78718,9.18057,258.1,-3.2,2.811,52.78,,
T,48.78728,9.1806,257.8,-3.4,2.822,11.34,,
T,48.78762,9.18068,256.4,-3.7,2.861,38.26,,
T,48.78813,9.18084,256.5,0.3,2.919,57.92,,
T,48.78842,9.18091,260.2,11.2,2.951,32.66,,
T,48.78865,9.18097,259.9,-1.2,2.977,25.95,,
T,48.78873,9.18099,259.3,-6.4,2.986,9.02,,
T,48.78881,9.181,258.9,-4.8,2.995,8.93,,
T,48.78912,9.18104,258.9,-0.1,3.03,34.6,,
T,48.78985,9.18113,255.3,-4.4,3.111,81.45,,
T,48.7904,9.1812,255.6,0.5,3.173,61.38,,
T,48.7904,9.1812,255.6,,3.173,0,,
T,48.7905,9.18122,256.2,5.8,3.184,11.22,,
T,48.79074,9.18126,256.4,0.8,3.211,26.85,,
T,48.79085,9.18126,256.4,-0.5,3.223,12.23,,
T,48.79092,9.18127,256.1,-3.2,3.231,7.82,,
T,48.79113,9.18129,255.3,-3.3,3.254,23.4,,
T,48.79137,9.1813,254.1,-4.8,3.281,26.7,,
T,48.79167,9.18133,257.5,10.2,3.314,33.43,,
T,48.79191,9.18137,260.6,11.8,3.341,26.85,,
T,48.79198,9.18139,260.9,2.9,3.349,7.92,,
T,48.7923,9.18148,259.6,-3.4,3.385,36.2,,
T,48.79244,9.18152,258.8,-4.9,3.401,15.84,,
T,48.79255,9.18157,259.5,5.5,3.414,12.77,,
T,48.79267,9.18163,262.3,19.9,3.428,14.05,,
T,48.79273,9.18165,263.8,21.5,3.435,6.83,,
T,48.79321,9.18188,268.4,8.2,3.491,55.99,,
T,48.79349,9.182,269.7,4.2,3.523,32.36,,
T,48.79349,9.182,269.7,,3.523,0,,
T,48.79354,9.18202,270.2,8.5,3.529,5.75,,
T,48.7938,9.18216,271.9,5.6,3.56,30.69,,
T,48.79381,9.18216,272.1,10.8,3.561,1.11,,
T,48.79384,9.18218,272.4,8.8,3.564,3.65,,
T,48.79393,9.18222,273.3,8.8,3.575,10.43,,
T,48.79396,9.18222,273.5,6.5,3.578,3.34,,
T,48.79405,9.18225,274.1,5.3,3.588,10.25,,
T,48.79417,9.18228,274.8,5.4,3.602,13.53,,
T,48.79423,9.18229,274.8,0.3,3.609,6.71,,
T,48.79438,9.1823,274.9,0.7,3.625,16.7,,
T,48.79512,9.18235,277.6,3.2,3.708,82.37,,
T,48.7953,9.18236,279.2,8,3.728,20.03,,
T,48.7956,9.18238,281.1,5.8,3.761,33.39,,
T,48.79659,9.18254,284.3,2.9,3.872,110.72,,
T,48.79669,9.18256,284.8,3.9,3.883,11.22,,
T,48.79711,9.18264,284.8,0,3.93,47.07,,
T,48.79773,9.18269,286.1,2,3.999,69.05,,
T,48.79794,9.18272,286.7,2.2,4.023,23.46,,
T,48.798,9.18272,286.8,2.6,4.029,6.67,,
T,48.79823,9.18275,285.7,-4.3,4.055,25.67,,
T,48.79844,9.18278,283.8,-8.1,4.078,23.46,,
T,48.79854,9.18279,282.7,-10,4.089,11.14,,
T,48.79934,9.18291,282.8,0.1,4.179,89.4,,
T,48.79968,9.18295,283,0.5,4.217,37.92,,
T,48.80027,9.18303,283.1,0.1,4.283,65.87,,
T,48.80086,9.18312,283.2,0.2,4.349,65.94,,
T,48.80098,9.18313,284.1,6.5,4.362,13.36,,
T,48.80153,9.1832,287.2,5.2,4.423,61.38,,
T,48.80247,9.18334,285.9,-1.2,4.528,105.04,,
T,48.80271,9.18339,286.9,3.4,4.555,26.94,,
T,48.80284,9.18343,286.9,0.4,4.57,14.75,,
T,48.80302,9.18348,286.5,-1.9,4.59,20.35,,
T,48.80323,9.18354,285.9,-2.5,4.614,23.77,,
T,48.80336,9.18358,285.3,-4.2,4.629,14.75,,
T,48.80364,9.18365,285,-1.1,4.661,31.56,,
T,48.80365,9.18365,285,-0.9,4.662,1.11,,
T,48.80387,9.18369,284.5,-2,4.686,24.64,,
T,48.80393,9.18369,284.4,-0.6,4.693,6.67,,
T,48.80401,9.1837,284.4,-0.8,4.702,8.93,,
T,48.80411,9.18371,284.3,-0.6,4.713,11.14,,
T,48.80429,9.18372,283.1,-6.1,4.733,20.03,,
T,48.80447,9.18372,281.3,-8.8,4.753,20.02,,
T,48.80456,9.18374,280.1,-11.9,4.763,10.12,,
T,48.80461,9.18375,279.4,-12.1,4.769,5.61,,
T,48.80465,9.18377,278.8,-13.4,4.773,4.68,,
T,48.80469,9.18379,278.1,-13.9,4.778,4.68,,
T,48.80474,9.18382,277.4,-13.1,4.784,5.98,,
T,48.80482,9.18388,276.3,-10.1,4.794,9.93,,
T,48.80488,9.18394,275.8,-7.1,4.802,8,,
T,48.80496,9.18402,275.2,-5.3,4.813,10.66,,
T,48.80523,9.18433,275,-0.6,4.85,37.68,,
T,48.80541,9.18454,276.4,5.7,4.876,25.27,,
T,48.8056,9.18475,277.9,5.5,4.902,26.16,,
T,48.80567,9.18482,279.3,14.8,4.911,9.33,,
T,48.80574,9.18487,280.5,14.3,4.92,8.61,,
T,48.80576,9.18489,280.8,12.8,4.922,2.67,,
T,48.8058,9.18492,281.5,13,4.927,4.96,,
T,48.80588,9.18498,282.7,12.1,4.937,9.93,,
T,48.80596,9.18503,283.6,9.1,4.947,9.62,,
T,48.80604,9.18508,284.2,6.5,4.957,9.62,,
T,48.80615,9.18514,285.1,7.2,4.97,13,,
T,48.80624,9.18519,286.1,9.4,4.98,10.66,,
T,48.80635,9.18524,287.6,11.5,4.993,12.77,,
T,48.80646,9.18529,288.9,9.9,5.006,12.77,,
T,48.80656,9.18533,289.8,8.4,5.017,11.5,,
T,48.80673,9.18537,290.8,5,5.036,19.13,,
T,48.80689,9.1854,289.9,-5,5.054,17.93,,
T,48.80698,9.18541,289.8,-0.5,5.064,10.04,,
T,48.80704,9.18541,290.3,6.5,5.071,6.67,,
T,48.80709,9.18541,290.6,6.5,5.077,5.56,,
T,48.80718,9.18539,291.5,8.5,5.087,10.12,,
T,48.80726,9.18538,292.3,9.2,5.096,8.93,,
T,48.80742,9.18535,294.4,11.4,5.114,17.93,,
T,48.80769,9.18528,294.6,0.8,5.144,30.46,,
T,48.80778,9.18525,294.4,-2.3,5.154,10.25,,
T,48.80784,9.18524,293.9,-7.5,5.161,6.71,,
T,48.80791,9.18521,293.5,-4,5.169,8.09,,
T,48.80801,9.18517,293,-4.4,5.181,11.5,,
T,48.80808,9.18513,293.2,1.4,5.189,8.32,,
T,48.80813,9.18511,293.5,5.3,5.195,5.75,,
T,48.80854,9.18482,297.4,7.8,5.245,50.32,,
T,48.80864,9.18474,298,5.2,5.258,12.58,,
T,48.80871,9.18471,298.5,5.4,5.266,8.09,,
T,48.80878,9.18468,299,6.2,5.274,8.09,,
T,48.80887,9.18465,299.5,4.9,5.284,10.25,,
T,48.80888,9.18465,299.5,2.3,5.285,1.11,,
T,48.80893,9.18464,299.6,1.7,5.291,5.61,,
T,48.80899,9.18463,299.7,1.1,5.297,6.71,,
T,48.80905,9.18462,299.7,1.1,5.304,6.71,,
T,48.80909,9.18461,299.8,1.6,5.309,4.51,,
T,48.80915,9.18459,300,2.1,5.316,6.83,,
T,48.8092,9.18457,300.2,4.4,5.321,5.75,,
T,48.80925,9.18454,300.5,5.2,5.327,5.98,,
T,48.8093,9.18451,300.8,4,5.333,5.98,,
