type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.21291,16.38839,160.6,-0.9,1.541,10.64,,
T,48.21294,16.38857,160.2,-2.4,1.554,13.79,,
T,48.21295,16.3888,161,4.3,1.572,17.13,,
T,48.21297,16.38897,161.1,1,1.584,12.83,,
T,48.21297,16.38897,161.1,,1.584,0,,
T,48.21299,16.38919,160.5,-3.5,1.601,16.5,,
T,48.213,16.38926,160.7,2.5,1.606,5.32,,
T,48.21301,16.38935,160.9,3.1,1.613,6.78,,
T,48.21302,16.38946,161.1,2.4,1.621,8.25,,
T,48.21304,16.38962,160.5,-5.1,1.633,12.1,,
T,48.21304,16.38971,160.2,-4.6,1.64,6.69,,
T,48.21304,16.38979,160.1,-0.7,1.646,5.95,,
T,48.21303,16.38991,160.2,0.8,1.655,8.99,,
T,48.21301,16.39014,160.4,1.3,1.672,17.24,,
T,48.21299,16.39035,160.3,-0.6,1.688,15.76,,
T,48.21298,16.3905,159.7,-5.9,1.699,11.2,,
T,48.21296,16.39061,159.7,0.1,1.708,8.47,,
T,48.21296,16.39067,159.6,-1.5,1.712,4.46,,
T,48.21295,16.39074,159.7,2.8,1.717,5.32,,
T,48.21292,16.39092,160.4,4.9,1.731,13.79,,
T,48.21282,16.39142,160.7,0.8,1.77,38.79,,
T,48.21279,16.39162,158.6,-14.1,1.785,15.23,,
T,48.21274,16.3919,157.8,-3.3,1.807,21.54,,
T,48.2127,16.39206,158.6,5.9,1.819,12.7,,
T,48.21268,16.39218,159,4.7,1.829,9.19,,
T,48.21266,16.39227,158.9,-1.2,1.836,7.05,,
T,48.21265,16.39233,158.6,-7.1,1.84,4.6,,
T,48.21263,16.39241,158.2,-5.7,1.847,6.35,,
T,48.2126,16.39248,158.1,-2.9,1.853,6.18,,
T,48.21259,16.39253,158,-2.8,1.857,3.88,,
T,48.21257,16.39257,158.1,2.7,1.86,3.71,,
T,48.21256,16.39261,158,-0.4,1.864,3.17,,
T,48.21254,16.39266,158.1,0.8,1.868,4.33,,
T,48.21252,16.3927,158.1,1.1,1.872,3.71,,
T,48.2125,16.39274,158.1,0.5,1.875,3.71,,
T,48.21247,16.3928,158.3,2.6,1.881,5.57,,
T,48.21244,16.39286,158.3,1,1.886,5.57,,
T,48.21241,16.39292,158.4,1.8,1.892,5.57,,
T,48.21237,16.39298,158.8,5.1,1.898,6.3,,
T,48.21234,16.39303,159,5.1,1.903,4.99,,
T,48.21231,16.39307,159.3,7.6,1.908,4.47,,
T,48.21227,16.39313,159.7,5.5,1.914,6.3,,
T,48.21222,16.39319,160,4.9,1.921,7.13,,
T,48.21218,16.39324,159.9,-2.1,1.927,5.8,,
T,48.2121,16.39333,159.9,-0.2,1.938,11.13,,
T,48.21201,16.39343,160,0.9,1.951,12.47,,
T,48.21194,16.39349,160.5,4.9,1.96,8.97,,
T,48.21185,16.39357,160.5,0.3,1.971,11.64,,
T,48.21164,16.39376,161,2,1.999,27.29,,
T,48.21154,16.39385,161.1,0.1,2.012,12.98,,
T,48.21149,16.3939,161,-1.6,2.018,6.69,,
T,48.21141,16.39396,160.9,-0.1,2.028,9.95,,
T,48.2113,16.39405,161,0.4,2.042,13.94,,
T,48.21109,16.39423,161,0,2.069,26.91,,
T,48.21104,16.39427,161,0,2.075,6.3,,
T,48.21095,16.39434,161,0,2.087,11.28,,
T,48.21086,16.39441,161,0,2.098,11.28,,
T,48.21064,16.39456,160.9,-0.5,2.125,26.88,,
T,48.21039,16.39472,161,0.4,2.155,30.24,,
T,48.21019,16.39485,161,0,2.179,24.25,,
T,48.21009,16.39492,161,0,2.192,12.28,,
T,48.21004,16.39495,161,0,2.197,5.99,,
T,48.21001,16.39497,161,0,2.201,3.65,,
T,48.20994,16.39502,160.9,-0.6,2.21,8.63,,
T,48.20963,16.3952,161,0.2,2.247,36.98,,
T,48.20943,16.39531,160.9,-0.5,2.27,23.69,,
T,48.20926,16.39541,160.8,-0.2,2.291,20.31,,
T,48.2091,16.39549,161,0.9,2.31,18.76,,
T,48.20886,16.39561,160.8,-0.6,2.338,28.14,,
T,48.20877,16.39566,160.8,-0.4,2.348,10.68,,
T,48.20849,16.39578,161,0.7,2.381,32.39,,
T,48.20834,16.39585,160.9,-0.3,2.398,17.47,,
T,48.20821,16.3959,160.9,-0.5,2.413,14.93,,
T,48.20811,16.39593,160.9,0.6,2.424,11.34,,
T,48.20801,16.39597,161,0.6,2.436,11.51,,
T,48.20793,16.39599,161,0,2.445,9.02,,
T,48.20781,16.39602,161,0,2.459,13.53,,
T,48.20764,16.39604,161,0,2.477,18.96,,
T,48.20744,16.39607,161.2,1,2.5,22.35,,
T,48.20735,16.39608,161.5,3.2,2.51,10.04,,
T,48.20724,16.39609,161.9,3.2,2.522,12.25,,
T,48.20712,16.39612,161.9,0.1,2.536,13.53,,
T,48.20687,16.39617,161.8,-0.4,2.564,28.05,,
T,48.20674,16.3962,161.9,0.5,2.578,14.63,,
T,48.20657,16.39624,162.3,2.3,2.597,19.14,,
T,48.20629,16.3963,163.2,2.8,2.629,31.45,,
T,48.20595,16.39638,164,1.9,2.667,38.27,,
T,48.20587,16.39639,164,0.3,2.676,8.93,,
T,48.20564,16.39643,163.2,-3.1,2.702,25.75,,
T,48.20533,16.39649,162.1,-3.1,2.737,34.76,,
T,48.20519,16.39652,161.7,-2.8,2.752,15.73,,
T,48.20496,16.39658,161,-2.6,2.778,25.96,,
T,48.20482,16.39662,161,0,2.794,15.85,,
T,48.20463,16.39669,160.9,-0.3,2.816,21.76,,
T,48.20455,16.39673,160.9,-0.3,2.825,9.38,,
T,48.20449,16.39677,160.9,0.4,2.833,7.3,,
T,48.2044,16.39682,161,0.6,2.843,10.68,,
T,48.20425,16.39692,161,0,2.862,18.26,,
T,48.20407,16.39708,161.3,1.4,2.885,23.28,,
T,48.20399,16.39714,161.3,-0.6,2.895,9.95,,
T,48.20381,16.39731,161,-1.1,2.918,23.67,,
T,48.20379,16.39733,161,0,2.921,2.68,,
T,48.20376,16.39735,161,0,2.925,3.65,,
T,48.2036,16.39751,161,0,2.946,21.4,,
T,48.20349,16.39764,161,0,2.962,15.59,,
T,48.20338,16.39776,161,0,2.977,15.14,,
T,48.20336,16.39778,161,-0.1,2.98,2.68,,
T,48.20331,16.39783,161,0,2.986,6.69,,
T,48.2029,16.39846,161,0.1,3.052,65.36,,
T,48.20271,16.39882,161.1,0.1,3.086,34.09,,
T,48.20256,16.39915,160.8,-0.9,3.115,29.66,,
T,48.20249,16.39934,161.6,5.2,3.131,16.13,,
T,48.20243,16.39951,161.6,-0.4,3.146,14.29,,
T,48.2024,16.39961,161,-6.9,3.154,8.15,,
T,48.20237,16.39972,160.5,-6.1,3.163,8.83,,
T,48.20231,16.39996,160.4,-0.3,3.182,19.05,,
T,48.20229,16.40003,160.5,0.8,3.187,5.66,,
T,48.20225,16.40023,160.6,1.1,3.203,15.52,,
T,48.20211,16.401,160.6,0,3.262,59.32,,
T,48.20195,16.40189,160.9,0.4,3.331,68.51,,
T,48.20193,16.40195,161,1.9,3.336,4.98,,
T,48.2018,16.4026,160.8,-0.4,3.386,50.43,,
T,48.20167,16.4033,161.1,0.5,3.44,54,,
T,48.20166,16.40337,161,-1.3,3.446,5.32,,
T,48.20163,16.40348,161.1,0.8,3.454,8.83,,
T,48.20142,16.40445,160.7,-0.5,3.53,75.79,,
T,48.2013,16.40495,161.1,1.1,3.57,39.49,,
T,48.2012,16.40531,160.3,-2.9,3.599,28.98,,
T,48.20114,16.40548,160.6,2.5,3.613,14.29,,
T,48.20109,16.40561,161,3.2,3.624,11.15,,
T,48.20103,16.40576,161,0,3.637,12.99,,
T,48.20098,16.40587,160.9,-1.5,3.647,9.89,,
T,48.20089,16.40606,161.2,1.7,3.664,17.31,,
T,48.20086,16.40611,161.6,9.3,3.669,4.99,,
T,48.20078,16.40626,161.4,-1.7,3.684,14.26,,
T,48.20068,16.40642,160.9,-3.2,3.7,16.28,,
T,48.20059,16.40655,161.2,2.6,3.714,13.91,,
T,48.20052,16.40665,161.8,5.6,3.724,10.76,,
T,48.20043,16.40677,161.1,-5.3,3.738,13.41,,
T,48.20033,16.40688,161.4,2,3.752,13.8,,
T,48.20029,16.40693,161.8,7.7,3.757,5.8,,
T,48.20024,16.40698,161.7,-2.5,3.764,6.69,,
T,48.20016,16.40705,161.3,-3.5,3.774,10.31,,
T,48.20009,16.40711,161.3,0.5,3.783,8.97,,
T,48.20007,16.40714,161.4,2.6,3.787,3.15,,
T,48.20005,16.40715,161.5,4.1,3.789,2.34,,
T,48.20004,16.40716,161.6,4.9,3.79,1.34,,
T,48.19996,16.40723,161.8,2.2,3.801,10.31,,
T,48.19985,16.40731,161.2,-4.7,3.814,13.6,,
T,48.19957,16.40751,161,-0.6,3.849,34.5,,
T,48.19926,16.40777,161,0.1,3.888,39.52,,
T,48.19912,16.40788,161,0,3.906,17.58,,
T,48.19862,16.40828,161,0,3.969,63.05,,
T,48.19855,16.40834,161,-0.1,3.978,8.97,,
T,48.19839,16.40847,160.8,-0.8,3.998,20.25,,
T,48.19795,16.40884,160.5,-0.6,4.054,56.13,,
T,48.19775,16.40902,160.2,-1.3,4.08,25.95,,
T,48.19768,16.40909,160.1,-0.9,4.089,9.36,,
T,48.19733,16.40942,159.7,-0.7,4.135,46,,
T,48.19709,16.40964,159.4,-1.1,4.167,31.3,,
