Gear No,Input Speed [rpm],Input Torque [Nm],Torque Loss [Nm]
2,0,600,43.2
2,0,900,55.2
2,0,1200,67.2
2,0,1600,83.2
2,0,2000,99.2
2,0,2500,119.2
2,0,3000,139.2
2,0,3500,159.2
2,0,4000,179.2
2,0,4500,199.2
2,0,5000,219.2
2,0,5500,239.2
2,600,-5500,239.2
2,600,-5000,219.2
2,600,-4500,179.2
2,600,-4000,179.2
2,600,-3500,159.2
2,600,-3000,139.2
2,600,-2500,119.2
2,600,-2000,99.2
2,600,-1600,83.2
2,600,-1200,67.2
2,600,-900,55.2
2,600,-600,43.2
2,600,-400,35.2
2,600,-200,27.2
2,600,0,27.2
2,600,200,27.2
2,600,400,35.2
2,600,600,43.2
2,600,900,55.2
2,600,1200,67.2
2,600,1600,83.2
2,600,2000,99.2
2,600,2500,119.2
2,600,3000,139.2
2,600,3500,159.2
2,600,4000,179.2
2,600,4500,199.2
2,600,5000,219.2
2,600,5500,239.2
2,900,-5500,242.8
2,900,-5000,222.8
2,900,-4500,182.8
2,900,-4000,182.8
2,900,-3500,162.8
2,900,-3000,142.8
2,900,-2500,122.8
2,900,-2000,102.8
2,900,-1600,86.8
2,900,-1200,70.8
2,900,-900,58.8
2,900,-600,46.8
2,900,-400,38.8
2,900,-200,30.8
2,900,0,30.8
2,900,200,30.8
2,900,400,38.8
2,900,600,46.8
2,900,900,58.8
2,900,1200,70.8
2,900,1600,86.8
2,900,2000,102.8
2,900,2500,122.8
2,900,3000,142.8
2,900,3500,162.8
2,900,4000,182.8
2,900,4500,202.8
2,900,5000,222.8
2,900,5500,242.8
2,1200,-5500,246.4
2,1200,-5000,226.4
2,1200,-4500,186.4
2,1200,-4000,186.4
2,1200,-3500,166.4
2,1200,-3000,146.4
2,1200,-2500,126.4
2,1200,-2000,106.4
2,1200,-1600,90.4
2,1200,-1200,74.4
2,1200,-900,62.4
2,1200,-600,50.4
2,1200,-400,42.4
2,1200,-200,34.4
2,1200,0,34.4
2,1200,200,34.4
2,1200,400,42.4
2,1200,600,50.4
2,1200,900,62.4
2,1200,1200,74.4
2,1200,1600,90.4
2,1200,2000,106.4
2,1200,2500,126.4
2,1200,3000,146.4
2,1200,3500,166.4
2,1200,4000,186.4
2,1200,4500,206.4
2,1200,5000,226.4
2,1200,5500,246.4
2,1600,-5500,251.2
2,1600,-5000,231.2
2,1600,-4500,191.2
2,1600,-4000,191.2
2,1600,-3500,171.2
2,1600,-3000,151.2
2,1600,-2500,131.2
2,1600,-2000,111.2
2,1600,-1600,95.2
2,1600,-1200,79.2
2,1600,-900,67.2
2,1600,-600,55.2
2,1600,-400,47.2
2,1600,-200,39.2
2,1600,0,39.2
2,1600,200,39.2
2,1600,400,47.2
2,1600,600,55.2
2,1600,900,67.2
2,1600,1200,79.2
2,1600,1600,95.2
2,1600,2000,111.2
2,1600,2500,131.2
2,1600,3000,151.2
2,1600,3500,171.2
2,1600,4000,191.2
2,1600,4500,211.2
2,1600,5000,231.2
2,1600,5500,251.2
2,2000,-5500,256
2,2000,-5000,236
2,2000,-4500,196
2,2000,-4000,196
2,2000,-3500,176
2,2000,-3000,156
2,2000,-2500,136
2,2000,-2000,116
2,2000,-1600,100
2,2000,-1200,84
2,2000,-900,72
2,2000,-600,60
2,2000,-400,52
2,2000,-200,44
2,2000,0,44
2,2000,200,44
2,2000,400,52
2,2000,600,60
2,2000,900,72
2,2000,1200,84
2,2000,1600,100
